Size	Best		Worst		Average
100	997700   	997700   	997700
200	2147500   	2147500   	2147500
300	3138200   	3138200   	3138200
400	5470800   	5470800   	5470800
500	7234300   	7234300   	7234300
600	14433400   	14433400   	14433400
700	9124800   	9124800   	9124800
800	12088300   	12088300   	12088300
900	11525900   	11525900   	11525900
1000	12875500   	12875500   	12875500
1100	13396000   	13396000   	13396000
1200	15632000   	15632000   	15632000
1300	22294600   	22294600   	22294600
1400	20297900   	20297900   	20297900
1500	21934300   	21934300   	21934300
1600	22135800   	22135800   	22135800
1700	42567100   	42567100   	42567100
1800	34949300   	34949300   	34949300
1900	35073900   	35073900   	35073900
2000	44559200   	44559200   	44559200
2100	38189000   	38189000   	38189000
2200	45071300   	45071300   	45071300
2300	41626300   	41626300   	41626300
2400	35307000   	35307000   	35307000
2500	39317800   	39317800   	39317800
2600	55904100   	55904100   	55904100
2700	45357800   	45357800   	45357800
2800	63585900   	63585900   	63585900
2900	47162400   	47162400   	47162400
3000	42255800   	42255800   	42255800
3100	37477800   	37477800   	37477800
3200	38623100   	38623100   	38623100
3300	41196800   	41196800   	41196800
3400	39967600   	39967600   	39967600
3500	46363100   	46363100   	46363100
3600	42828800   	42828800   	42828800
3700	45119300   	45119300   	45119300
3800	46592300   	46592300   	46592300
3900	53404400   	53404400   	53404400
4000	45923700   	45923700   	45923700
4100	51081900   	51081900   	51081900
4200	53590200   	53590200   	53590200
4300	53628700   	53628700   	53628700
4400	49629000   	49629000   	49629000
4500	53074400   	53074400   	53074400
4600	56767100   	56767100   	56767100
4700	57209100   	57209100   	57209100
4800	72375500   	72375500   	72375500
4900	56274700   	56274700   	56274700
5000	58117900   	58117900   	58117900
5100	63131000   	63131000   	63131000
5200	59738000   	59738000   	59738000
5300	61785200   	61785200   	61785200
5400	69395800   	69395800   	69395800
5500	66228200   	66228200   	66228200
5600	68544500   	68544500   	68544500
5700	70289600   	70289600   	70289600
5800	67796800   	67796800   	67796800
5900	73165300   	73165300   	73165300
6000	73947400   	73947400   	73947400
6100	72010000   	72010000   	72010000
6200	77110200   	77110200   	77110200
6300	81025600   	81025600   	81025600
6400	78751700   	78751700   	78751700
6500	77409900   	77409900   	77409900
6600	77455600   	77455600   	77455600
6700	81270000   	81270000   	81270000
6800	80048500   	80048500   	80048500
6900	85484300   	85484300   	85484300
7000	85209000   	85209000   	85209000
7100	92513700   	92513700   	92513700
7200	86025200   	86025200   	86025200
7300	88161400   	88161400   	88161400
7400	89782500   	89782500   	89782500
7500	91841100   	91841100   	91841100
7600	98054900   	98054900   	98054900
7700	92049100   	92049100   	92049100
7800	89879900   	89879900   	89879900
7900	94242600   	94242600   	94242600
8000	92168300   	92168300   	92168300
8100	96881400   	96881400   	96881400
8200	102327600   	102327600   	102327600
8300	99893500   	99893500   	99893500
8400	100219400   	100219400   	100219400
8500	101557100   	101557100   	101557100
8600	114180900   	114180900   	114180900
8700	105685200   	105685200   	105685200
8800	109515400   	109515400   	109515400
8900	106635500   	106635500   	106635500
9000	109925900   	109925900   	109925900
9100	112216600   	112216600   	112216600
9200	114756400   	114756400   	114756400
9300	115357200   	115357200   	115357200
9400	114385900   	114385900   	114385900
9500	109906400   	109906400   	109906400
9600	113931000   	113931000   	113931000
9700	121830400   	121830400   	121830400
9800	123020000   	123020000   	123020000
9900	122069900   	122069900   	122069900
10000	122071000   	122071000   	122071000
