Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	3267700    	88300    	43900      	2241900              	91600        	28400
200   	4047500    	192300    	83800      	5035400              	139700        	38700
300   	5538900    	246300    	112900      	5901600              	255400        	68500
400   	4146600    	195100    	89000      	4940700              	413900        	104300
500   	9626000    	379800    	169800      	6530900              	535400        	162000
600   	6496500    	317400    	156000      	7015700              	410000        	100300
700   	7504500    	376300    	166100      	10143400              	593700        	143700
800   	10266400    	663500    	382400      	11807700              	590600        	136700
900   	13047900    	653900    	286800      	11459300              	682900        	157400
1000   	15993100    	577700    	264900      	12340700              	609600        	133800
1100   	15971300    	797500    	342000      	13640400              	662700        	149100
1200   	23940000    	727700    	325200      	18556900              	1470400        	333200
1300   	22302400    	848600    	348500      	14109700              	1325500        	183700
1400   	22264000    	1059700    	449800      	22728900              	956000        	203800
1500   	17113400    	920500    	395400      	16998100              	948400        	210800
1600   	29315600    	1978700    	827900      	29710700              	1953300        	398800
1700   	28550800    	1054400    	470800      	20764800              	1094700        	240200
1800   	30449400    	1996200    	873400      	22895000              	1178600        	255000
1900   	28083700    	1197300    	531100      	25836300              	1868700        	401300
2000   	26637800    	1328000    	549700      	30045200              	1389300        	281100
2100   	24136200    	1332200    	551600      	36619200              	2439800        	519500
2200   	32015100    	2481400    	1688100      	34851800              	3000200        	630500
2300   	46038200    	1578800    	649700      	37632300              	1778700        	338400
2400   	43627400    	2987400    	988600      	73641800              	1865700        	380900
2500   	38818300    	1935400    	746100      	33935200              	1908800        	393800
2600   	36491500    	2207100    	757800      	32051800              	2978900        	501300
2700   	37854700    	1774900    	730800      	33804700              	2080200        	459800
2800   	42011000    	2157500    	887000      	35903300              	1945300        	424100
2900   	34138500    	1933000    	798100      	35079600              	2033100        	426300
3000   	42250900    	3949500    	829900      	39750200              	2132100        	443900
3100   	41678800    	4397900    	2028100      	38942600              	2882100        	453100
3200   	47574400    	3267600    	1356400      	49654800              	2262800        	467200
3300   	50919200    	2350100    	1264900      	45526000              	2333600        	481900
3400   	47938800    	2801500    	984400      	43673700              	2795000        	498700
3500   	50167200    	2984500    	1234000      	42480100              	2685500        	530000
3600   	46468800    	2624900    	1096500      	51305100              	3207200        	665800
3700   	68884400    	4813300    	2061300      	53515500              	2671300        	548400
3800   	56948500    	3281000    	1357400      	51549400              	2743200        	560400
3900   	55032000    	3357500    	1387500      	54045000              	6319100        	1297000
4000   	59629100    	2892000    	1130400      	61553000              	6726400        	1368500
4100   	65562100    	6126700    	1220600      	62150100              	6248100        	1365700
4200   	60771600    	3322200    	1290200      	56732500              	3054400        	628000
4300   	91677200    	5486900    	2494700      	81385100              	7146400        	1494900
4400   	91947400    	4037900    	2229500      	62277000              	6672700        	1410800
4500   	93288100    	4558300    	1854100      	63669500              	3292900        	669200
4600   	90191600    	3670000    	1489700      	76659900              	3424600        	699700
4700   	88186500    	4849700    	2347800      	74140100              	5607000        	711800
4800   	74034100    	5957700    	1837400      	81198800              	8421700        	1968200
4900   	72023600    	6841100    	1817100      	72398000              	7828200        	933100
5000   	78067900    	3759100    	1496500      	64243600              	3932500        	770600
5100   	96694000    	6531800    	1903600      	84050000              	4235900        	890100
5200   	80224600    	3895200    	2531100      	99144500              	7596300        	1513900
5300   	93186900    	5838400    	1585100      	85171900              	9216900        	1821400
5400   	105886200    	4791900    	1778100      	93794300              	8298200        	1866600
5500   	82173700    	7702700    	1727100      	103528100              	10321500        	2045900
5600   	92797600    	4061300    	3144900      	119694900              	7770900        	1176300
5700   	111584100    	5605600    	1688900      	85093700              	5477100        	958800
5800   	82580400    	6387300    	2569800      	88426200              	5719600        	1078600
5900   	87747000    	5691500    	3085200      	103262700              	4995500        	906500
6000   	109207400    	4685400    	2543300      	107050800              	6266900        	977900
6100   	99979200    	4463700    	1798500      	84271000              	9136300        	998200
6200   	112582600    	4590000    	3007300      	84392800              	7562800        	1788800
6300   	109342600    	4804900    	4302100      	119297800              	7019300        	1536300
6400   	100099300    	6621800    	2519400      	92561800              	7890300        	2039500
6500   	113633700    	5016000    	2002400      	107993200              	5674000        	1067300
6600   	99418500    	7568100    	3783600      	98516900              	6045400        	1040100
6700   	92585300    	5067300    	2640800      	100717800              	7559400        	1551200
6800   	98485400    	5058100    	2038100      	101240800              	7044400        	1578400
6900   	98951600    	6852800    	2692200      	93305300              	5457100        	1068200
7000   	91414700    	7685100    	2122300      	129999700              	5450300        	1083200
7100   	109442400    	5330300    	2119600      	131189200              	6801100        	1238100
7200   	132188600    	11160100    	3423100      	140486400              	6469500        	1122000
7300   	107770100    	5608600    	2806300      	102823700              	5738400        	1132700
7400   	119742100    	8417300    	3226100      	108135100              	9079200        	1733600
7500   	112306600    	5708800    	2262300      	138600700              	7268600        	1283500
7600   	139074100    	6685800    	3056900      	135861100              	11161800        	2169900
7700   	126473300    	14961800    	2443700      	126986800              	6064100        	1224700
7800   	103528500    	5942500    	2348800      	109353500              	7769100        	1914800
7900   	113826800    	13768600    	5464700      	136154000              	6699400        	1232100
8000   	118995800    	6125400    	2438600      	152212900              	7910300        	3283700
8100   	121117100    	9133000    	5131400      	122604900              	6467600        	1286100
8200   	149338800    	10452300    	3287500      	108882300              	8589600        	1383000
8300   	118693800    	7516300    	3211800      	108372300              	8450300        	1621300
8400   	122000700    	7820800    	4512700      	110616200              	14408100        	3031000
8500   	135795400    	6761800    	5494900      	119253300              	12769600        	2415300
8600   	153124800    	7248300    	2945600      	122626800              	8648200        	1696100
8700   	124917600    	8015600    	2716600      	145236300              	10041400        	2049400
8800   	151390900    	11623200    	5797900      	129230300              	10268400        	1492600
8900   	122690600    	7282500    	2899800      	167605000              	9889000        	1404500
9000   	116112400    	9261300    	2775800      	127993100              	8560000        	1788700
9100   	134238600    	8716200    	3005200      	155879400              	7779800        	1523100
9200   	143341800    	8882400    	2933900      	133271000              	7568600        	1470600
9300   	122064300    	8451400    	2909000      	138850300              	7824400        	1548100
9400   	149433100    	13343100    	3614000      	138444600              	9183700        	1527900
9500   	127325500    	17067800    	6725900      	146939700              	16253200        	2647600
9600   	177519300    	15870300    	5183200      	170502200              	12877700        	2433500
9700   	164349100    	8960100    	3760000      	161772200              	7840500        	1597600
9800   	144504300    	10775300    	4520500      	138015800              	9540800        	3581500
9900   	169751800    	12443700    	4875700      	172740200              	14637700        	3769500
10000   	182088400    	13251600    	7399400      	159069000              	8208500        	1622100
