Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1728700    	68900    	28200      	1833500              	56800        	17300
200   	2579300    	109600    	51300      	2000500              	91300        	24900
300   	3749800    	140900    	67400      	3328500              	230800        	49500
400   	4596400    	195100    	88700      	4038700              	204500        	51700
500   	6691500    	381800    	170900      	5681300              	265000        	64400
600   	8934600    	545400    	213000      	7694900              	333100        	81800
700   	8459300    	382000    	166800      	7319200              	456300        	95500
800   	8810000    	438400    	194100      	8363200              	460300        	108100
900   	11242800    	503900    	224400      	9445700              	526800        	121800
1000   	12670900    	566800    	246100      	10432300              	594200        	134900
1100   	13532000    	630900    	276100      	13700000              	854800        	191900
1200   	14661100    	701500    	299300      	12659700              	734700        	166600
1300   	17154300    	772200    	331300      	13840400              	803900        	183300
1400   	16543400    	849000    	361900      	16088100              	900300        	199000
1500   	17265200    	904900    	382200      	18250800              	951800        	209600
1600   	17254000    	972600    	412700      	17023100              	1020500        	223700
1700   	19729000    	1051600    	446300      	18052300              	1091800        	240000
1800   	19557500    	1148600    	472000      	19243200              	1164800        	254100
1900   	24112700    	1207400    	511100      	20438900              	1234800        	267900
2000   	21685400    	1261500    	525400      	21315500              	1340100        	280300
2100   	23938400    	1484600    	594300      	25297900              	1525700        	313500
2200   	25662200    	1408300    	584900      	23463200              	1574800        	310800
2300   	28377300    	1477000    	623400      	25291400              	1541400        	329100
2400   	28008100    	1552800    	645000      	27778900              	1809800        	370600
2500   	29794500    	2253500    	1019400      	27928400              	1710700        	364700
2600   	32725100    	1873300    	948500      	30641000              	1803300        	383700
2700   	33675700    	1772000    	748800      	32321500              	2080600        	421100
2800   	36891900    	2322000    	985700      	31399000              	1965900        	415200
2900   	36584400    	2041900    	871400      	39238700              	2366900        	425100
3000   	34214000    	2001400    	832900      	32428900              	2089400        	439100
3100   	35480800    	2334400    	944000      	40242700              	2648700        	483600
3200   	39572100    	2173200    	894200      	34681200              	2249000        	466900
3300   	36150800    	2228100    	919200      	35862400              	2325600        	483200
3400   	41131900    	2321000    	966600      	42232900              	2417000        	500000
3500   	38737400    	2432100    	985700      	38208500              	2482200        	513700
3600   	42935000    	2737800    	1472200      	45300400              	2565600        	529800
3700   	44338100    	4596000    	1033200      	41926600              	2760300        	546600
3800   	50342400    	3851400    	2063600      	45198400              	2722300        	561400
3900   	43884900    	2687900    	1103500      	42885800              	2798900        	576300
4000   	44301300    	2812800    	1131200      	48307300              	2881100        	589600
4100   	56114900    	2849400    	1202400      	44642000              	4786400        	603100
4200   	52933200    	3188500    	1463200      	54144900              	3856300        	638900
4300   	55679000    	3589900    	1228800      	50869600              	3123600        	638400
4400   	57263300    	3084300    	1257300      	50302200              	3253300        	651500
4500   	49753500    	3210300    	1296500      	53526300              	3444200        	911300
4600   	62784800    	3251800    	1318700      	51753300              	3842800        	735700
4700   	55757400    	3511000    	1386600      	57494600              	4566800        	710400
4800   	60176200    	3406400    	1384900      	52712000              	3588500        	726000
4900   	62246100    	3528300    	1425000      	55362100              	4944700        	746100
5000   	63208500    	3560400    	1453400      	62485000              	3782400        	762500
5100   	64384600    	3648100    	1469600      	56729800              	3807000        	775000
5200   	63879100    	4212200    	1635800      	61003800              	3879100        	793800
5300   	64023700    	3808100    	1571600      	66436800              	3984400        	810200
5400   	62425300    	3887800    	1580200      	59902800              	4136300        	824400
5500   	69186300    	3957800    	1634400      	66558300              	4655600        	898800
5600   	63155400    	4042000    	1627700      	68421900              	5183400        	1341700
5700   	71704600    	4460700    	1875700      	69079000              	5236400        	881700
5800   	72111200    	4239300    	1948000      	68615200              	4424700        	886800
5900   	70715100    	5985400    	1760900      	71027800              	4554200        	914300
6000   	71848000    	4519700    	1826100      	109193600              	5325600        	1005200
6100   	83872600    	4474000    	1793800      	72164400              	5613200        	1401800
6200   	78491400    	5106800    	1958200      	72444600              	6109600        	966100
6300   	75824100    	4609100    	1858000      	69805000              	4834500        	964700
6400   	76745700    	4701700    	1882700      	70750300              	4894600        	981200
6500   	79338900    	5363900    	2074300      	74721600              	5030500        	998400
6600   	79430400    	4911900    	1998800      	76199900              	5111900        	1015400
6700   	79337100    	4975900    	2769500      	81966000              	7133800        	1035000
6800   	79545100    	5116500    	2048600      	79970000              	6150900        	1362100
6900   	80209200    	7151500    	2292300      	78866300              	5378800        	1070000
7000   	86963500    	5332500    	2099000      	78479000              	5410600        	1081800
7100   	83555000    	5286600    	2195900      	78984000              	5498500        	1099000
7200   	91590500    	5930500    	2170000      	84784200              	5580500        	1114600
7300   	87751700    	6698100    	2674200      	84500800              	5680500        	1134900
7400   	89948500    	7200500    	2399200      	85234100              	5806000        	1148500
7500   	95694100    	5618900    	2467100      	89521600              	5850000        	1167200
7600   	87466500    	5716900    	2275400      	92003700              	5956500        	1177800
7700   	97683800    	8142200    	3450800      	95365800              	6001300        	1200300
7800   	89760000    	5883900    	2367000      	88335800              	6202800        	1217300
7900   	97278800    	6042700    	2396500      	91355500              	6172400        	1227200
8000   	98082100    	6027900    	2457800      	99406400              	6328800        	1243400
8100   	94475300    	6136000    	2473300      	95977900              	6608300        	1332700
8200   	96119100    	6472900    	2489800      	96856500              	6437800        	1281700
8300   	101812000    	6737700    	2869400      	95915200              	6527100        	1301500
8400   	101441400    	6412200    	2581800      	98118800              	6610300        	1378500
8500   	104271200    	6440600    	2605900      	94379800              	6761700        	1334500
8600   	100959100    	6568200    	2668400      	95700900              	6884900        	1348600
8700   	107222800    	6630300    	2658400      	96430300              	6924100        	1365000
8800   	108896800    	6710100    	2711100      	106019000              	7820600        	1477700
8900   	105978400    	6851600    	2702800      	101155300              	7260600        	2028000
9000   	106966900    	6944500    	2768100      	110351700              	9118200        	2092600
9100   	120678700    	6997800    	2813800      	104262700              	7337400        	1441900
9200   	113158900    	7770400    	2897100      	105232100              	7337000        	1488100
