Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1663800    	36800    	19200      	960900              	38900        	12100
200   	5986800    	193000    	90600      	4434600              	205300        	56300
300   	6943400    	308500    	143800      	6001700              	164700        	41600
400   	8142600    	339700    	154100      	7301700              	371800        	99800
500   	5261800    	253600    	113100      	5273600              	267000        	64500
600   	11106000    	555100    	241300      	9644500              	496300        	120800
700   	7482500    	376100    	164500      	7383700              	454200        	95300
800   	12101700    	451900    	192600      	12736000              	692900        	163000
900   	13722300    	507600    	218200      	9553700              	525200        	122200
1000   	12421300    	566600    	245400      	11837800              	592800        	157100
1100   	13974000    	636600    	271700      	11601500              	662400        	148800
1200   	30490700    	1487500    	637500      	19433200              	903800        	192100
1300   	23627900    	1029100    	434700      	16007400              	866400        	195100
1400   	27640400    	843200    	363800      	15304100              	901900        	197000
1500   	16535000    	912900    	474800      	15952400              	950900        	211700
1600   	17276300    	997900    	420900      	17273300              	1021500        	224400
1700   	27451600    	1047000    	462900      	19673400              	1227900        	256000
1800   	40347200    	2838900    	1183200      	31829600              	1373100        	408900
1900   	33107500    	1313300    	552900      	21118900              	1240100        	268400
2000   	34584100    	1440500    	574100      	24287300              	1739300        	299000
2100   	28918700    	1578300    	648500      	31553200              	1381700        	296300
2200   	27232900    	1495900    	595000      	23903700              	1465300        	310900
2300   	44429200    	3474200    	1417000      	58251600              	3797800        	768600
2400   	35895900    	1552600    	640000      	26779000              	4619100        	466100
2500   	41018300    	2039000    	841800      	32761100              	2177100        	454500
2600   	31299800    	1721400    	714400      	30797700              	1790800        	388700
2700   	33086000    	1853400    	747200      	31862600              	2329600        	494600
2800   	32364700    	1850500    	764900      	31108900              	1940900        	412100
2900   	37642300    	2103300    	808400      	39260200              	2016500        	506300
3000   	45328600    	2145400    	901400      	33364400              	2115300        	437800
3100   	47437100    	2230700    	911400      	40819400              	2445000        	662200
3200   	43959600    	2170600    	894300      	34963200              	2262900        	466400
3300   	41723700    	2489200    	980600      	36839900              	2331100        	483200
3400   	46470600    	2309000    	1157600      	44051100              	2505700        	580600
3500   	58236700    	2377700    	974300      	57837900              	6308000        	723400
3600   	47773800    	2640400    	1166300      	43139600              	3196200        	670100
3700   	48196600    	3192300    	1311400      	47676500              	4511700        	580500
3800   	47876500    	2917600    	1151000      	49960300              	4426800        	596300
3900   	79582700    	4931000    	1622100      	54184700              	3868100        	611500
4000   	45113100    	3455200    	1835300      	50496100              	2895600        	590500
4100   	59929200    	5101500    	3168500      	57319500              	4846600        	1058200
4200   	51295000    	2970900    	1202800      	59113600              	3648500        	637600
4300   	65080600    	3041200    	1225100      	56249300              	3573700        	679800
4400   	63098400    	3229200    	1305200      	60529800              	4876000        	1220300
4500   	68270400    	5385600    	1389300      	56139000              	3707400        	716500
4600   	64329700    	3389100    	1408000      	81761800              	4159600        	1282300
4700   	66107400    	5203100    	1938300      	56171800              	3879800        	754700
4800   	81642900    	3439700    	1400300      	76616700              	3546600        	726100
4900   	63812600    	3478400    	1435000      	78643700              	3764700        	840300
5000   	78915600    	4476300    	1827500      	70462000              	4753500        	965200
5100   	64684900    	3693100    	1506000      	64617000              	4767600        	1058600
5200   	69681700    	4165100    	1636400      	76262700              	3889600        	802300
5300   	89998300    	3820400    	1578100      	75271400              	8324000        	1695800
5400   	71392400    	3978200    	1565900      	75031400              	4826500        	915800
5500   	94912500    	4017100    	1622400      	63471900              	4134600        	842800
5600   	78509900    	5927900    	3901000      	74926200              	4902700        	857000
5700   	112377200    	6046500    	2955000      	76014000              	4302200        	872700
5800   	69054000    	4220600    	1689900      	76373500              	10504900        	2035400
5900   	82423700    	6087000    	1733700      	100994100              	4506700        	905500
6000   	86472300    	6712700    	2590000      	85511600              	4574000        	920200
6100   	92437700    	4673700    	1820400      	72601000              	5211000        	997600
6200   	100298500    	7604400    	3003300      	89750700              	5643900        	2098500
6300   	93290700    	4822500    	1863300      	75284600              	4881800        	968800
6400   	98212800    	4786300    	1902100      	81258000              	5514300        	1051500
6500   	100760100    	4842700    	1948300      	72448800              	5068100        	1002300
6600   	126775800    	6398700    	2550700      	85827000              	5299700        	1021000
6700   	89402100    	5017400    	2038600      	86622200              	6635600        	1051000
6800   	90434000    	5630900    	2165700      	84899900              	5250700        	1048100
6900   	92182400    	7837300    	3612500      	82254700              	5327600        	1067600
7000   	120710400    	6012500    	2315100      	93125800              	5456800        	1084200
7100   	110070500    	11982200    	5137600      	86307700              	5653800        	1097200
7200   	108514900    	5535000    	2315900      	87609700              	5610800        	1115100
7300   	161257900    	8740600    	3532900      	114132000              	5652400        	1133300
7400   	98665500    	6195500    	2403600      	125851100              	8171800        	1719500
7500   	106018400    	6473600    	2421600      	94635500              	6913700        	1500200
7600   	104046200    	8137800    	3034300      	100456200              	7561500        	1484000
7700   	103997100    	5779500    	2333200      	114266100              	12092200        	1626000
7800   	109999800    	5862600    	2422000      	98884400              	7576700        	1213300
7900   	101203000    	7225500    	2487800      	113530400              	6913500        	1540800
8000   	102742500    	6063700    	2414800      	107864700              	14216900        	2805000
8100   	107639000    	6212000    	2455300      	107308800              	7256500        	1359400
8200   	101027300    	12333500    	2589900      	112806100              	7194000        	1367100
8300   	143418500    	6876900    	2724500      	126378000              	8727700        	1705900
8400   	136232700    	6471000    	3890000      	127248500              	10606300        	2322200
8500   	117688800    	8903400    	2774100      	103094600              	6767400        	1329000
8600   	123913800    	8235300    	3264700      	121116800              	9956600        	1687000
