Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1334700    	37000    	19000      	1007700              	46200        	12200
200   	2071500    	86200    	42100      	2004200              	91700        	25000
300   	3161100    	140700    	66000      	3072500              	148000        	39100
400   	4628000    	199000    	89100      	4109900              	207600        	51800
500   	5549300    	327400    	170600      	5426200              	264200        	68800
600   	6625900    	317200    	139400      	8784400              	369500        	86000
700   	8382200    	418900    	177700      	7298300              	394300        	94800
800   	10798600    	437200    	189900      	8852600              	688300        	171100
900   	11695900    	615600    	249700      	11013600              	536100        	123400
1000   	11293200    	568500    	246700      	12210600              	592100        	135000
1100   	12300700    	633600    	285000      	11529800              	660500        	148500
1200   	15584400    	703200    	298100      	12736800              	733800        	166300
1300   	14166200    	771800    	328400      	16044400              	807100        	181700
1400   	15170300    	864400    	356700      	15025000              	877100        	198500
1500   	16243200    	904900    	387000      	20709700              	966200        	210000
1600   	19042800    	975300    	438500      	18403800              	1304300        	223700
1700   	18505700    	1049200    	447800      	18174900              	1096900        	240700
1800   	19804400    	1678400    	712300      	20586600              	1166900        	254500
1900   	22989400    	1192700    	500300      	21422300              	1387100        	284400
2000   	25844300    	1562800    	538000      	23851800              	1307200        	279800
2100   	24356000    	1333300    	563300      	22798200              	1383200        	295600
2200   	30600600    	1567600    	629900      	26202000              	1465300        	310500
2300   	25016000    	1480200    	610000      	28221300              	1652700        	344600
2400   	30394200    	1549600    	655500      	25997500              	1616700        	346300
2500   	34553000    	1626400    	694900      	27107000              	1701100        	364000
2600   	28862700    	1710900    	703700      	32118100              	1818000        	385500
2700   	33305500    	2367900    	1110300      	30015500              	1855400        	397100
2800   	34864200    	2114200    	839400      	33678100              	2197800        	494800
2900   	35030700    	1931800    	816900      	37718500              	2026100        	426600
3000   	33230000    	2007200    	850500      	32442300              	2099000        	437900
3100   	37443600    	2083400    	857000      	33487300              	2168600        	456500
3200   	39944000    	2320700    	937600      	36796500              	2274700        	488800
3300   	40690900    	2236500    	910700      	38627300              	2386400        	485000
3400   	42566600    	2844500    	984000      	45612400              	2474800        	511600
3500   	44355200    	2379500    	978500      	43404900              	2785700        	545700
3600   	42202700    	2456000    	1007400      	42271800              	3069000        	597000
3700   	42566200    	2540800    	1033000      	40588900              	2650400        	567100
3800   	43494700    	2609600    	1090600      	41597600              	2763200        	558500
3900   	47045200    	2686200    	1133200      	42729800              	2799100        	573000
4000   	50841100    	2762900    	1139000      	46439100              	3034400        	588900
4100   	49064700    	2897700    	1164100      	46861200              	2961700        	603300
4200   	48844500    	2922800    	1203000      	46305400              	4698000        	629900
4300   	53804900    	3117600    	1280300      	50767900              	3158000        	636200
4400   	48740900    	3078700    	1291200      	56341300              	3608000        	725700
4500   	55934400    	3158400    	1291900      	53891500              	3323600        	671900
4600   	62490300    	3483200    	1760500      	53369600              	3776200        	808700
4700   	56751300    	3315900    	1357600      	51498300              	3455600        	709400
4800   	61646900    	3430800    	1381000      	55141800              	3550700        	726100
4900   	56306000    	3481400    	1406900      	63047200              	3971200        	745100
5000   	59434500    	3563400    	1435900      	55317100              	3715100        	760900
5100   	104875900    	4070300    	1570900      	61518300              	3797800        	775400
5200   	60070200    	4422200    	1529100      	61952700              	3920900        	796000
5300   	63436000    	3810500    	1535200      	62574400              	4082500        	903600
5400   	66114500    	3907400    	1576800      	60178100              	4059700        	825400
5500   	64463500    	4899000    	1631300      	63690000              	4152000        	841600
5600   	63045500    	5049800    	1660100      	68301600              	4920000        	960000
5700   	74968800    	4240500    	1703700      	63128100              	4307200        	893300
5800   	74412300    	4222900    	1798000      	69479100              	4928700        	947800
5900   	65969300    	4930200    	1744600      	74314600              	4502300        	906600
6000   	78887500    	4389500    	1769300      	71025100              	5362500        	921700
6100   	70422600    	4451400    	1827700      	67355100              	4692200        	935500
6200   	81408000    	4615800    	1862600      	70569100              	4741400        	949800
6300   	78640700    	5430800    	1849500      	70157300              	4843900        	968300
6400   	74177000    	4728100    	1929500      	78037700              	4900400        	981300
6500   	74547500    	4823700    	1935400      	82752800              	5001700        	1183800
6600   	75603500    	4884200    	1972300      	72892500              	5098000        	1017900
6700   	80958700    	4972200    	1998800      	74376800              	5158200        	1031400
6800   	84913800    	5017500    	2013100      	79763300              	5241500        	1048500
6900   	85701500    	5691300    	2093100      	80304000              	5553600        	1065700
7000   	85501000    	7645400    	2179400      	82938300              	5417900        	1079100
7100   	91247200    	5904800    	2279500      	86903600              	5513200        	1099600
7200   	84961400    	5365700    	3170900      	87930900              	5619100        	1112800
7300   	83550500    	5510300    	2185600      	86072000              	5688000        	1415600
7400   	85631900    	5521300    	2231700      	83410200              	5864300        	1152300
7500   	86858800    	5626200    	2259400      	85992000              	6665000        	1259000
7600   	89506200    	6529100    	2312300      	92433100              	6753200        	1214100
7700   	93071700    	5779700    	2320800      	88063100              	6565300        	1212300
7800   	91288100    	5878900    	2353400      	86583400              	7540900        	1213100
7900   	89755400    	6013000    	2399800      	90149400              	6298800        	1231100
8000   	95060500    	6252200    	2402000      	90148400              	8341800        	1250500
8100   	93467500    	8235300    	2448900      	94607400              	7617100        	2120100
8200   	98341600    	6195400    	2507200      	92999100              	6704600        	1309900
8300   	96940200    	6420400    	2518400      	102889500              	7349900        	1403600
8400   	98064400    	6365500    	2607700      	98070500              	7679400        	1755000
8500   	102604600    	6447900    	2597500      	95702900              	6803100        	1328600
8600   	104278100    	6567500    	2616800      	101415100              	8156500        	2028900
8700   	101755800    	6643000    	2650400      	100425800              	6896100        	1366900
8800   	103751000    	6754400    	2688300      	109405900              	6986600        	1387200
8900   	108306300    	6972000    	2762300      	105745400              	7110900        	1406800
9000   	108543400    	7219200    	4159600      	113115700              	10316300        	2591900
9100   	107388700    	6978000    	2829300      	106369400              	8513700        	1919300
9200   	114023400    	9237900    	3253400      	110115200              	7350000        	1531200
9300   	111170500    	7207800    	2864600      	106614400              	14619100        	1477400
9400   	142747400    	7245500    	2908700      	114081000              	7534000        	1493000
9500   	116066700    	7330200    	2934200      	108505200              	8041500        	1772900
9600   	112194400    	8748500    	3979300      	141446700              	7781800        	1537600
9700   	127160800    	7497400    	3107400      	111755000              	7845500        	1565000
9800   	123876700    	8459300    	3628300      	117154700              	9059200        	1592000
9900   	117529800    	7676800    	3086000      	122532300              	7990500        	1585800
10000   	117132000    	7908700    	3087900      	117336200              	8154200        	1607700
