Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1005300    	37400    	19000      	979200              	39500        	12300
200   	2712300    	107300    	50800      	2483800              	112500        	30900
300   	4608400    	273100    	121800      	5495500              	183600        	49100
400   	4912600    	263600    	122800      	5197100              	255900        	64600
500   	9874400    	286300    	115100      	5806500              	437000        	64800
600   	9194200    	323900    	143800      	6215700              	328600        	80200
700   	8310300    	378800    	164700      	7286400              	411000        	96200
800   	10013100    	440100    	195400      	9430100              	581000        	133800
900   	12815600    	927600    	493700      	11915400              	663000        	153700
1000   	18095800    	714500    	313100      	14432900              	1370200        	339600
1100   	16184300    	1002500    	392100      	15509700              	741500        	160200
1200   	18335800    	715600    	301000      	15443500              	970600        	255900
1300   	22072700    	799300    	326200      	15307300              	905200        	204900
1400   	25231800    	942100    	381700      	18755500              	1466200        	227000
1500   	20106100    	909900    	384300      	20413200              	1092400        	229500
1600   	24309900    	1138300    	460300      	24528500              	1079200        	229400
1700   	26517200    	1091300    	750500      	21846700              	1242800        	305600
1800   	24877800    	1122500    	474000      	22664100              	1469100        	318800
1900   	27201000    	1385800    	622500      	26563400              	1261000        	288400
2000   	28956700    	1340300    	553900      	28613300              	1648700        	360500
2100   	26190200    	2057300    	902700      	30459600              	1448300        	303300
2200   	35734400    	1891700    	790300      	35844800              	3732600        	682700
2300   	34308600    	1853700    	766100      	31815400              	1933500        	412400
2400   	30617000    	1566300    	653900      	32226000              	2426900        	436900
2500   	35538600    	2373200    	1011800      	32563900              	1747800        	400900
2600   	38545000    	5802200    	1167500      	41245100              	2056900        	415100
2700   	36845300    	1980400    	804900      	35380500              	2171200        	404100
2800   	37253800    	2470900    	967600      	38742900              	2076900        	441300
2900   	36496900    	2189700    	993600      	34571100              	2051800        	425400
3000   	42909900    	2234200    	882700      	53882700              	3428800        	733900
3100   	55067100    	2755500    	934000      	49753900              	3419900        	480800
3200   	50469500    	3872600    	1523900      	53413700              	3526000        	702300
3300   	51540600    	3346700    	1546000      	48072400              	2687600        	779000
3400   	50004300    	3252200    	1141500      	52913900              	2780200        	594900
3500   	50113300    	2870800    	1189400      	48382100              	2893500        	594900
3600   	51028900    	2847700    	1167900      	51386600              	3082900        	996300
3700   	48456800    	2625200    	1091300      	56796100              	4585500        	946400
3800   	56682400    	5395000    	1176600      	50888300              	3208900        	588400
3900   	53154500    	3835200    	1400400      	59340000              	4942500        	1350900
4000   	60432200    	3482100    	1853900      	57990300              	5558900        	1029600
4100   	58951900    	5066700    	1757600      	62312900              	3202400        	1205500
4200   	52176200    	2959100    	1211000      	57744900              	3813100        	778500
4300   	60400300    	3107900    	1291200      	53765500              	4322900        	955200
4400   	60411900    	3452500    	1370100      	65636300              	3583600        	1141900
4500   	60090800    	4630000    	1941300      	55846600              	3305500        	671500
4600   	69104500    	4301600    	1350800      	70574300              	6624900        	694100
4700   	79011900    	6211900    	1825500      	73021600              	3941700        	801300
4800   	67065900    	8930600    	3533500      	85934400              	6697500        	1493400
4900   	111171400    	4026700    	1545400      	71421100              	4273200        	819300
5000   	65915200    	3750800    	1475300      	64982000              	5835900        	956100
5100   	73348800    	3970100    	1809700      	64743300              	5848500        	1177200
5200   	76905500    	6683000    	3016200      	83441700              	5000300        	812500
5300   	83486500    	4291700    	1804000      	89399100              	5105200        	1058300
5400   	76196200    	8392700    	3530000      	80613100              	4202500        	1951200
5500   	116877100    	7864500    	3016400      	93169600              	4905700        	870100
5600   	96207700    	4086800    	1638100      	81885800              	4242900        	859500
5700   	78287600    	6589800    	2273600      	87643600              	8823200        	1995600
5800   	97154100    	7879200    	4454300      	95489700              	5442400        	935800
5900   	83520500    	4512800    	2253400      	102655500              	6575300        	1313000
6000   	87504000    	5821700    	2051100      	85814900              	5310600        	1079100
6100   	90596400    	5214900    	2282400      	103956900              	5710000        	1276400
6200   	111703600    	9835600    	1864200      	89494700              	5370800        	1027100
6300   	92662000    	6119800    	2392300      	100424400              	6571400        	1307300
6400   	102731100    	5426900    	2588700      	92629500              	4979400        	1195900
6500   	87385200    	4888400    	2009400      	87341300              	6856700        	1069100
6600   	90671200    	5591000    	2594300      	93843400              	7423100        	1468900
6700   	99152800    	6933900    	2316800      	110789700              	10963900        	1324000
6800   	104211700    	5937200    	2534300      	188842200              	6893000        	1478400
6900   	104883400    	5924500    	2657200      	114090200              	7097000        	1390700
7000   	124983100    	6577700    	2659600      	99604900              	6001700        	1187500
7100   	115720500    	9339400    	2566000      	113264900              	6731000        	1250100
7200   	113248400    	5388200    	2474600      	101489300              	12689300        	2552400
7300   	115033400    	9341900    	2297400      	116597600              	6121200        	1426800
7400   	112014500    	14435100    	4753800      	105382000              	6521200        	1210700
7500   	158128400    	7233500    	2616800      	105766600              	8658500        	1248900
7600   	104823200    	8108300    	2385500      	116170100              	7697700        	2097800
7700   	110775200    	5924200    	3206400      	122549700              	8801100        	2132300
7800   	120546900    	7161000    	2462900      	102584200              	6552300        	1529400
7900   	129427000    	7718600    	3049500      	126833900              	13559800        	1782300
8000   	116945900    	8986600    	2650000      	115266200              	8074100        	1270400
8100   	109494000    	6905000    	3279500      	120526000              	8091800        	1294800
8200   	111645000    	7818400    	3279900      	109707500              	6532200        	1459000
8300   	115322700    	12226600    	5726300      	135948000              	8997000        	1712500
8400   	116988000    	10408500    	2793300      	173413500              	9524000        	2319000
8500   	110772500    	15651400    	5281300      	167994500              	7954900        	1442700
8600   	156043100    	8684100    	5619300      	131304900              	11799500        	2359000
8700   	133064300    	10193300    	2656100      	141973600              	11023900        	1573900
8800   	151462500    	15375800    	4670100      	133271700              	9092200        	1770000
8900   	156886500    	11981700    	3791600      	125574300              	7089500        	1404300
9000   	165033000    	7887700    	5051200      	130905300              	9487900        	1775600
9100   	160359200    	7126900    	2900100      	138715400              	7305300        	1449800
9200   	207233000    	14938500    	5745900      	127152500              	10556500        	1571200
9300   	146983500    	9901900    	3994900      	143789000              	13060900        	2351000
9400   	154669800    	9533300    	6243800      	144176900              	10529600        	3652700
9500   	140435200    	7419600    	3278800      	135767700              	13066800        	1528300
9600   	133444800    	14815900    	6080100      	187282900              	13044100        	1649900
9700   	146372500    	8424300    	3017200      	128554900              	8904600        	1550100
9800   	150154800    	8928800    	4896600      	142441900              	8163200        	3271500
9900   	150553900    	7714400    	3075900      	181675000              	13121800        	2003700
10000   	189018300    	12736500    	5056200      	166673000              	12276000        	2446100
