Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1527300    	45800    	65000      	1194300              	48700        	15300
200   	4013100    	156000    	75400      	3932600              	199900        	60000
300   	4592200    	173700    	80800      	3149300              	152600        	38600
400   	5086000    	195600    	89800      	4110300              	208400        	52100
500   	7482600    	410900    	143600      	6987300              	331100        	81300
600   	6767600    	312700    	141000      	6238500              	331000        	79900
700   	9333600    	471400    	206300      	7533500              	394900        	95100
800   	8479100    	440600    	189900      	8910100              	460100        	110300
900   	12669000    	835900    	269200      	11039700              	654700        	130400
1000   	10614500    	569000    	248300      	11890900              	593100        	134600
1100   	12757600    	633200    	274400      	14208300              	855400        	186500
1200   	14182900    	704200    	308800      	16634000              	894200        	208300
1300   	17478500    	850200    	412400      	16556900              	825000        	186900
1400   	20648300    	873500    	379900      	18803800              	1016200        	235000
1500   	21388400    	928700    	403200      	17864300              	1084300        	212900
1600   	18220200    	980200    	426600      	21949400              	1201400        	299000
1700   	18967300    	1063200    	476100      	22187100              	1648100        	358100
1800   	26310900    	1182900    	583400      	19731400              	1169200        	253100
1900   	20844200    	1188600    	505700      	23517500              	1240400        	267500
2000   	30378800    	1300100    	522400      	21883600              	1312100        	283500
2100   	27925900    	1353400    	596700      	25602600              	1693100        	313900
2200   	27609300    	1404000    	585800      	25445200              	1480000        	521100
2300   	41260600    	4582100    	1885300      	44450500              	2209300        	443000
2400   	30189500    	1734800    	689100      	31958600              	1616900        	349500
2500   	34478800    	1815500    	720900      	34406300              	1763100        	422900
2600   	31137000    	2132600    	897600      	31455200              	1775400        	381100
2700   	32772900    	1996900    	793900      	33636400              	1918900        	401700
2800   	36418600    	2007600    	890700      	33660900              	1932800        	413600
2900   	37022900    	2411900    	793100      	36257300              	2253600        	453000
3000   	44815900    	2073100    	867500      	36572700              	2915700        	547400
3100   	40013100    	2203300    	1082500      	37434800              	2190800        	527500
3200   	36059600    	2163800    	888600      	44952100              	2518600        	502100
3300   	51731500    	2295300    	913300      	36671100              	2338700        	484600
3400   	49393700    	2314000    	963400      	46333700              	2401600        	499700
3500   	59124600    	2666200    	1050100      	45097800              	3492900        	1022900
3600   	56954400    	6155000    	2344300      	58957200              	6188800        	696700
3700   	51633000    	2537800    	1582700      	44475800              	3338100        	688900
3800   	46031700    	2620900    	1063000      	44839500              	4276700        	874100
3900   	46595800    	2688800    	1098500      	42907200              	2794100        	574300
4000   	50809500    	2806900    	1131200      	48395300              	3015700        	588100
4100   	56189200    	3188200    	1237300      	48128100              	2956000        	604700
4200   	56875800    	2935300    	1189400      	81493500              	5833300        	1163500
4300   	52739700    	3019500    	1240100      	47364200              	3168800        	635400
4400   	53590600    	3085300    	1254700      	50218100              	3245000        	651100
4500   	87021600    	7952400    	1777800      	62216900              	3386500        	670300
4600   	60827700    	3738000    	1703500      	56535600              	4032800        	691200
4700   	70351400    	3442500    	1343500      	59730800              	4177300        	890100
4800   	54032200    	3424300    	1429300      	63745300              	3553800        	729700
4900   	58441900    	3490200    	1414500      	59064000              	4058400        	795500
5000   	69548500    	3704600    	1446500      	57206800              	4157600        	814000
5100   	67842000    	6246400    	2612400      	64477700              	3842500        	780500
5200   	86821400    	5533200    	1509300      	90694100              	7114700        	1443200
5300   	81424200    	4979200    	2158700      	59770600              	6339600        	1347000
5400   	76944300    	5325600    	1746600      	64107800              	4076500        	829900
5500   	72409200    	4464600    	1821000      	94188100              	4174400        	841600
5600   	119010300    	5014000    	1686700      	75063200              	5446900        	883500
5700   	76521700    	4727200    	3232000      	68913900              	4340300        	877200
5800   	71883300    	4239100    	1707600      	72275700              	4899000        	948900
5900   	125471100    	4861200    	1871600      	83310700              	5621000        	1161300
6000   	82562800    	4737600    	2066200      	80182400              	5224600        	1009000
6100   	73379000    	4461800    	1797400      	78926600              	5885000        	935200
6200   	79923100    	5256700    	2304000      	72063800              	4871800        	977600
6300   	90421700    	5891500    	2226800      	80176500              	4863900        	973400
6400   	81579400    	5623300    	2092500      	79961700              	5138800        	982800
6500   	85098600    	6897800    	1972600      	87439100              	5628900        	1064900
6600   	83894100    	5288600    	1997900      	111404600              	7208500        	1354000
6700   	86053500    	6300400    	3968900      	81367300              	5767300        	1102300
6800   	82532600    	5023900    	2096700      	91391000              	5847500        	1119300
6900   	103011900    	5221900    	2098400      	92157400              	5375200        	1063300
7000   	131172000    	5222200    	2120100      	82232000              	6090900        	1149200
7100   	101089500    	6284200    	2334600      	88979300              	6379800        	2328500
7200   	128269800    	5489000    	2385900      	81155300              	5657300        	2233800
7300   	125126800    	5562900    	3215000      	94395500              	5684300        	1138400
7400   	101668700    	6645300    	2204800      	87577600              	6378200        	1178900
7500   	113651200    	6241700    	2391900      	93190400              	6512300        	1242600
7600   	127553700    	6382000    	2441300      	96697900              	14408200        	2673200
7700   	120058400    	5821100    	2348200      	100923100              	5996600        	1196100
7800   	102217000    	6603200    	2523800      	108388500              	6435500        	1293100
7900   	143544100    	8996400    	3622700      	120961300              	6169800        	1230000
8000   	136452300    	14361500    	5741700      	134362600              	7499800        	1648600
8100   	108636300    	7763600    	3217400      	95967300              	7920900        	1265900
8200   	105272100    	7486200    	2652600      	116487800              	6476300        	1278600
8300   	162666100    	14020400    	5781400      	134332900              	6650700        	1489800
8400   	137657700    	6381200    	2627200      	117054800              	11197800        	2420400
8500   	119662900    	10008100    	5288500      	102611100              	7492200        	1326800
8600   	125688200    	6593400    	2656900      	118618600              	7571100        	1379400
8700   	106622700    	10086100    	3958600      	109596400              	7107200        	1427900
8800   	105705900    	6729000    	2668300      	132974600              	7242600        	1444300
8900   	124411000    	8767700    	5149700      	108300900              	10892600        	1501100
9000   	182730200    	6964500    	2767000      	132724500              	7563300        	1441600
9100   	117270200    	9668800    	3033900      	152470300              	8477100        	1553300
9200   	113546300    	7736700    	2862700      	117391900              	7326200        	1466000
9300   	160650200    	8931700    	5543800      	141488500              	8299300        	1917000
9400   	126034400    	7541700    	2894400      	112713400              	7514800        	1794000
9500   	118393900    	7345600    	2939600      	109163000              	13279600        	3434700
9600   	141973100    	9154600    	3003400      	140925800              	9718700        	1956100
9700   	131228400    	7671100    	3173700      	132672800              	8808200        	1590900
9800   	145447300    	9109600    	3234700      	124930400              	7967500        	1589300
9900   	135741400    	9536900    	4219600      	125684500              	9187500        	1810400
10000   	137402300    	8718600    	3494100      	131764700              	8803300        	1961700
