Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1745200    	59800    	25100      	1207100              	48600        	15200
200   	2032800    	85300    	42800      	2148300              	89700        	25300
300   	4978800    	174300    	81100      	3795300              	181800        	48200
400   	4891700    	195900    	90700      	4598900              	206300        	52500
500   	12378700    	511400    	236800      	10156200              	529100        	130200
600   	6511800    	320200    	142200      	6189200              	327900        	79800
700   	7619300    	375900    	164300      	7295800              	394200        	97600
800   	11148400    	550200    	242600      	10559300              	583400        	136600
900   	11408000    	501300    	219200      	9568600              	527300        	122300
1000   	23494100    	733800    	302200      	11602000              	596600        	141700
1100   	13513700    	806400    	338100      	11702800              	661600        	149500
1200   	15840400    	886000    	473500      	12844000              	737000        	167500
1300   	15944700    	1090500    	1175900      	17290900              	806800        	182900
1400   	16296800    	849000    	359100      	17658800              	1226200        	262500
1500   	29647500    	918000    	387700      	22175400              	2169100        	512000
1600   	29187400    	2061800    	1035000      	30098900              	1050200        	444600
1700   	22865400    	1043900    	461400      	18302500              	1090400        	240300
1800   	21530400    	1124200    	476700      	19800800              	1162500        	254100
1900   	26487300    	1568200    	655500      	22706800              	1480500        	268200
2000   	23999600    	1260500    	532600      	22308900              	1385600        	280100
2100   	25662100    	1401100    	575800      	23048100              	1387500        	293500
2200   	46402900    	1479600    	621300      	30379300              	1497000        	314100
2300   	36475300    	1994500    	935900      	30222000              	1541400        	332800
2400   	28016800    	1815100    	827000      	29688800              	2370000        	465200
2500   	38806900    	1647100    	683200      	39913600              	1700000        	365000
2600   	33736300    	1713900    	723100      	33781200              	1849900        	388600
2700   	37789100    	2044900    	810800      	36591400              	2538200        	401300
2800   	47308600    	2186700    	880600      	47892300              	2209300        	446200
2900   	40227300    	2954200    	1141100      	39832600              	2286700        	460300
3000   	42672900    	2652000    	1086800      	42405600              	2318900        	456500
3100   	42157900    	2239500    	969200      	37607000              	2346100        	482500
3200   	41563400    	3393100    	1610600      	41924400              	2286100        	587400
3300   	39073300    	3423200    	1224600      	46271300              	3080700        	961900
3400   	43526100    	2932200    	1530600      	43792600              	2780100        	507000
3500   	47543500    	2743700    	980500      	45096900              	3541500        	737700
3600   	50644400    	2494200    	1032700      	50729000              	3497300        	544500
3700   	46264900    	2534800    	1089400      	45255100              	3145900        	579800
3800   	51744500    	3280100    	1344400      	55487300              	2912000        	854100
3900   	49973700    	2749500    	1133400      	50871600              	2861500        	584700
4000   	57495500    	2902900    	1163600      	51200100              	4295300        	716700
4100   	51793800    	2900600    	1188400      	52403900              	4674000        	1050800
4200   	58938500    	3667300    	1471300      	54830500              	3093100        	626600
4300   	58525800    	3133200    	1300100      	61232700              	3194600        	644100
4400   	59381100    	5746000    	1368800      	59043600              	3338600        	673100
4500   	62207500    	3171200    	1435300      	60317200              	3799800        	718800
4600   	63381800    	3872300    	1369400      	70380500              	4091700        	974500
4700   	64514800    	4012100    	1566400      	59563600              	4156300        	1363400
4800   	68930200    	4822700    	1948600      	60453300              	3546100        	726900
4900   	69973700    	4364500    	1765400      	63746500              	3639200        	748600
5000   	65603300    	6502100    	2560600      	72130800              	5270300        	1083000
5100   	70339400    	6693000    	1863900      	62584800              	3892100        	793600
5200   	74234300    	4746900    	2460500      	65703800              	3919900        	791800
5300   	65885600    	3879000    	1529600      	72731100              	4621900        	865500
5400   	69021700    	3888600    	1592600      	66748100              	4560300        	881400
5500   	95416300    	4055200    	1612600      	75526600              	4154400        	841400
5600   	77259800    	8922700    	1762000      	87409700              	5822300        	1077400
5700   	76217700    	5651000    	2858400      	72609400              	5022700        	931900
5800   	73619000    	5313700    	2210300      	80833200              	5694500        	1133000
5900   	86211900    	4440400    	1920600      	81631900              	5161100        	906800
6000   	78336400    	4381800    	1778100      	70253500              	4563400        	941900
6100   	81592900    	4462700    	1819900      	75645500              	4649500        	959000
6200   	77362800    	4548100    	1839100      	108918300              	5712000        	1468700
6300   	89310200    	5191400    	2221600      	88086300              	5693200        	1062200
6400   	91792500    	4788800    	1946300      	101281500              	7994500        	1421400
6500   	97074300    	4845400    	1977800      	85291500              	5759600        	1523400
6600   	85673500    	5841000    	2827500      	84058000              	6711700        	1284300
6700   	90448300    	6838400    	2532400      	87876400              	5765200        	1100300
6800   	92436900    	6197200    	2325700      	96301100              	7049300        	1427800
6900   	85544500    	8248100    	2922200      	87549100              	6740100        	1409700
7000   	97548600    	5833000    	2252200      	89615500              	6044400        	1189700
7100   	92401400    	5343600    	2499300      	94449100              	6386700        	1374100
7200   	104388400    	6224100    	2342800      	97012900              	7106200        	1123600
7300   	103609300    	5888700    	2955900      	91403700              	7194800        	1395600
7400   	100578600    	6463300    	2840800      	94543000              	6589700        	1221200
7500   	107058800    	6253200    	2466400      	87604000              	5919300        	1169200
7600   	138452700    	5976100    	2525700      	85781700              	6078500        	1181500
7700   	122870400    	5894200    	2374800      	94459300              	8109700        	1220200
7800   	116073700    	5993800    	2349800      	104992400              	6207700        	1215700
7900   	117906600    	6915000    	3123400      	97258400              	7453300        	1230700
