Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1518100    	51600    	24700      	1341400              	54100        	16400
200   	3324000    	129800    	62100      	3000200              	135600        	37700
300   	4207400    	173000    	80700      	3761500              	144500        	38900
400   	6996500    	244300    	110700      	5225200              	256700        	64700
500   	5895000    	323500    	179300      	5323200              	270100        	64400
600   	6510500    	313200    	142000      	6539800              	331600        	80600
700   	7549300    	378000    	165800      	10138200              	495200        	119500
800   	10341800    	700400    	249700      	12604500              	585500        	157000
900   	13217700    	657900    	290000      	12534500              	767200        	165400
1000   	15604600    	904500    	314200      	13407700              	762700        	191600
1100   	14115700    	950800    	344000      	11804300              	663400        	149100
1200   	16006700    	983400    	532900      	17674900              	930600        	210200
1300   	17106100    	799200    	333600      	17871100              	1214100        	276300
1400   	18795900    	836000    	354700      	16501000              	1126500        	248100
1500   	20052200    	1140400    	490900      	25667700              	1027200        	340900
1600   	20085800    	1221500    	578000      	20494200              	1044600        	250400
1700   	25909400    	1371900    	575200      	25604700              	1443300        	313000
1800   	23380700    	1182200    	496800      	22802300              	1759500        	382400
1900   	26413600    	1534600    	659100      	27898700              	1602100        	718800
2000   	22456700    	1385500    	539700      	21572300              	2408000        	565600
2100   	29245700    	2656100    	1155100      	41819700              	2457700        	408000
2200   	36473100    	1688300    	711300      	34548200              	2007400        	391600
2300   	30321900    	2038000    	624900      	26512100              	1564100        	332800
2400   	41529000    	2340600    	975000      	38910600              	3347900        	563500
2500   	38156900    	2653400    	788000      	37919200              	1733400        	395000
2600   	35751200    	1772100    	710300      	35828300              	2161200        	388000
2700   	34056000    	1802200    	740100      	38964900              	1866000        	395300
2800   	37472700    	2330700    	967500      	32141400              	2107600        	414000
2900   	37331900    	2916300    	1237100      	41491800              	2021800        	421900
3000   	48578500    	2662800    	840300      	36891100              	2104100        	437100
3100   	46796200    	2853400    	1144900      	46020900              	2524400        	481300
3200   	51171400    	2214700    	1437100      	46846800              	2461000        	830000
3300   	56249700    	3695300    	1313700      	54267800              	4193400        	763800
3400   	54050500    	3268700    	1276200      	58229700              	3324700        	663500
3500   	53005100    	2408800    	972600      	51114300              	2518400        	516200
3600   	50453500    	5716600    	1792500      	53497200              	4636100        	533100
3700   	51597500    	3189000    	1056800      	61623100              	5293900        	1099500
3800   	56652600    	5288300    	2225800      	65254900              	4782500        	1034000
3900   	56901900    	4381600    	1120600      	60526800              	2954000        	723200
4000   	66665800    	5108000    	2817500      	68769900              	4453100        	591300
4100   	57834600    	5306900    	1174800      	72531400              	5068400        	1375900
4200   	58072100    	3805900    	1276000      	57265700              	5322200        	1083100
4300   	59256000    	4380700    	1560700      	66928800              	3146100        	640200
4400   	62536900    	5803600    	2682900      	77288100              	6435500        	1200300
4500   	63601600    	3264100    	1325600      	61679300              	3313400        	673300
4600   	81154700    	6554600    	3069700      	66415100              	7682500        	1434800
4700   	78339000    	6125700    	2121000      	78886300              	3484100        	711000
4800   	66624000    	3409400    	1411400      	70271000              	4217300        	748800
4900   	74002800    	6322600    	1607900      	73045100              	3631600        	746400
5000   	83781000    	5220600    	1471500      	70522600              	5129200        	1329300
5100   	76688400    	4770200    	1943500      	72394200              	4210800        	841600
5200   	80430200    	3751300    	1506100      	82018000              	4196500        	794300
5300   	85847800    	8184400    	2054300      	79772600              	7897200        	1383000
5400   	81980100    	5064500    	1975400      	69829300              	4391800        	828300
5500   	78510200    	3986000    	1622800      	69910700              	5995300        	1893400
5600   	104096000    	4780200    	1678300      	91640200              	5731400        	931400
5700   	94475300    	4411500    	1702100      	84813300              	4511000        	927200
5800   	84449100    	4721400    	1831700      	97911700              	5727200        	1150400
5900   	115562100    	4319200    	1766600      	72757000              	4844400        	1320200
6000   	111546700    	4411300    	1830600      	89720700              	10437200        	2077100
6100   	101685900    	5582700    	2244900      	105678800              	6085700        	1204500
6200   	113681300    	7093100    	3320200      	100465200              	7579200        	1338300
6300   	100053600    	6995200    	2806600      	100845700              	7238900        	1983900
6400   	85870400    	6680800    	1897600      	105188000              	8566700        	1608600
6500   	99030400    	7290800    	2616700      	89122700              	5634900        	1066200
6600   	93783500    	7010100    	2115300      	114985600              	6591600        	1644200
6700   	92873100    	9863900    	4056000      	101815800              	6539000        	1311600
6800   	92916200    	6495100    	2025000      	112286200              	6571000        	1544400
6900   	97730800    	6315000    	2129100      	142244000              	9906500        	1163300
7000   	109758500    	5330700    	2492800      	99020600              	5965700        	1121200
7100   	98934100    	5318900    	2144000      	97354000              	7695200        	1396300
7200   	113181100    	5454400    	2294500      	94473800              	5611100        	1125200
7300   	114038900    	8569000    	4007300      	103271700              	9038800        	1200800
7400   	102261100    	8035800    	3183400      	97023800              	7297600        	1437400
7500   	99772700    	5761400    	2252900      	108375200              	7119000        	1241000
7600   	101050600    	8767800    	3072000      	111999300              	8514500        	1223200
7700   	103423500    	7693500    	3257900      	105301200              	8349600        	1206500
7800   	107280300    	7326800    	3136700      	100603500              	6746000        	1216000
7900   	104284300    	7688600    	3028800      	120962000              	7564300        	1229100
8000   	100821000    	7889000    	2496700      	121093700              	6308600        	1254200
8100   	133326400    	6170500    	3302000      	112854600              	10937900        	1934400
8200   	121221300    	7933700    	2986000      	113685700              	8322800        	1615500
8300   	104369900    	7874700    	3116200      	136735400              	6788900        	1321100
8400   	126313800    	8008000    	3523400      	115937700              	7573200        	1766000
8500   	113154500    	6630000    	4030200      	168894200              	10207100        	1447900
8600   	127762600    	10382100    	2845700      	139534600              	9649800        	1592600
8700   	184201100    	13601600    	4415200      	200288700              	9505200        	1505000
8800   	134340300    	8025400    	3547600      	127922200              	8040300        	1740200
8900   	132366200    	7938900    	3834500      	123578200              	7594400        	1804000
9000   	123782300    	9578900    	3427300      	126602900              	8567300        	1423400
9100   	121797700    	7632800    	3204500      	112891300              	7891300        	1798900
9200   	118606100    	7101900    	2966500      	142108600              	10758800        	1628500
9300   	120525300    	9339800    	2858800      	154247600              	9277200        	2211800
9400   	190680600    	14121100    	4220000      	165647600              	13955200        	2008100
9500   	170953200    	13314600    	3763900      	231016900              	14196100        	2473900
9600   	174622700    	11064300    	3354400      	140425800              	10338300        	1784800
9700   	128119400    	8633200    	3051600      	131451100              	8940200        	1946800
9800   	135872100    	8707900    	3482100      	126608400              	8201600        	1599700
9900   	141762300    	8911800    	3665000      	147910000              	13916700        	2371400
10000   	140322400    	11130800    	3453800      	136364400              	12719300        	1632800
