Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2061100    	87900    	42400      	2151100              	87600        	27400
200   	4412600    	85400    	42100      	1981800              	90300        	25000
300   	3487200    	154100    	67600      	3386700              	167700        	41300
400   	4726000    	217600    	98100      	4672900              	205400        	54400
500   	11757800    	261400    	115300      	5726100              	265100        	64700
600   	14774900    	632100    	275400      	6448500              	330300        	80100
700   	10489600    	381500    	165800      	7849000              	394200        	95900
800   	18031200    	783200    	379400      	15193500              	823000        	185300
900   	14400400    	708100    	302100      	12743600              	584900        	139100
1000   	11215900    	570600    	247800      	11869600              	674900        	143000
1100   	17681000    	965500    	418400      	15985900              	834600        	187400
1200   	17695600    	712400    	299600      	21130900              	736500        	166400
1300   	31700000    	1300200    	601900      	20926500              	1138000        	261500
1400   	22980400    	924800    	401900      	15555200              	879600        	198200
1500   	18264100    	1012700    	413200      	18033400              	1142300        	224000
1600   	28245200    	1250500    	942600      	18083800              	1025200        	223500
1700   	18631900    	1055200    	442800      	18316200              	1094900        	239000
1800   	35516400    	1517600    	671700      	27731600              	1562500        	343000
1900   	26586300    	1382300    	637300      	23638000              	1241300        	267700
2000   	24308300    	1260500    	553900      	31468200              	1310900        	281100
2100   	24406700    	1330500    	577300      	22825800              	1386100        	294800
2200   	43889400    	1619300    	652000      	24800600              	1462600        	311200
2300   	30615000    	2891700    	1010200      	33185800              	1755900        	434500
2400   	29769800    	1552200    	651000      	26058300              	1671100        	348600
2500   	41196200    	1623700    	775500      	30558900              	1964000        	389900
2600   	45962100    	1947400    	734800      	30101400              	1842000        	881300
2700   	30168700    	1775700    	757900      	30459200              	1856400        	470800
2800   	33463100    	1928400    	766100      	44321500              	3044900        	617300
2900   	38872700    	2301200    	846600      	39380300              	2821500        	565500
3000   	35354300    	2006900    	831300      	33641700              	2352900        	467500
3100   	48551600    	2106500    	882900      	34587200              	2164500        	454000
3200   	35689800    	2152100    	893300      	35118800              	2514500        	499200
