Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1374800    	46700    	19800      	984000              	39100        	12100
200   	2647100    	97100    	45400      	2253500              	93700        	25600
300   	3950000    	170200    	71000      	3746400              	148700        	39900
400   	8724100    	222800    	96600      	5245600              	269900        	108100
500   	6840600    	435800    	117200      	6872900              	573800        	115500
600   	8101300    	340900    	159000      	7766200              	376500        	87600
700   	8591900    	439000    	191700      	10376400              	404700        	117100
800   	10949000    	517700    	206000      	10898000              	526700        	117200
900   	12374100    	513000    	241500      	10401500              	536300        	125200
1000   	11496800    	574600    	243400      	10520200              	592400        	137300
1100   	16426300    	843300    	338800      	11825900              	667200        	148800
1200   	16086500    	874700    	372600      	13423700              	765800        	167800
1300   	14307900    	768000    	351400      	19166800              	1100500        	230800
1400   	20018400    	1073500    	465800      	15542900              	880200        	197300
1500   	16467400    	910000    	387500      	21728300              	1553400        	261600
1600   	24332600    	1017300    	439100      	22556700              	1652400        	337500
1700   	35673500    	1173100    	470700      	22543800              	1305400        	485700
1800   	25964200    	1455500    	471400      	24362800              	1165500        	253900
1900   	25619100    	1188900    	495200      	20918200              	1551100        	382600
2000   	24342700    	2717000    	605000      	40383700              	3150500        	480600
2100   	32966700    	1334000    	571300      	24152300              	1836200        	315200
2200   	28128300    	1775900    	612300      	27121000              	1485700        	314500
2300   	30624800    	1684000    	670600      	30684300              	1574600        	336300
2400   	37640000    	2048400    	682400      	29238000              	1842500        	375100
2500   	36063700    	1667900    	682100      	29488100              	1881000        	368000
2600   	32144000    	1835500    	721400      	33722900              	3024000        	429800
2700   	39183800    	1800900    	753100      	36027400              	2041100        	422300
2800   	39299200    	1885900    	806300      	36104400              	2014500        	515400
2900   	38809600    	2102400    	809200      	37883000              	2042000        	429200
3000   	38451200    	2264700    	840400      	35891300              	2136300        	566900
3100   	38891600    	3101900    	1164500      	41322600              	3101300        	570600
3200   	49924100    	2551400    	1586300      	41943000              	2515000        	500200
3300   	45152500    	2974000    	1149500      	43748200              	2336600        	483500
3400   	49552000    	2880200    	1201600      	43970000              	3233700        	532000
3500   	44050900    	3745000    	1172100      	45010000              	3060900        	560700
3600   	49485000    	2523800    	1053400      	41761000              	3284100        	737400
3700   	46188000    	3176800    	1302400      	52198300              	3420400        	710900
3800   	55346500    	2612400    	1113800      	50308900              	3081500        	601800
3900   	47867900    	3390400    	1494100      	49630200              	3056300        	723400
4000   	49002400    	2792800    	1134700      	50072900              	4166400        	743300
4100   	51176000    	3573800    	1184400      	49210900              	3022700        	640500
4200   	54472600    	3680700    	1293000      	49256800              	3042200        	622300
4300   	56929400    	4692600    	1988200      	61604300              	7151900        	836800
4400   	68147500    	3293000    	1308700      	49498400              	3227300        	649400
4500   	80917700    	4061800    	1617500      	56152700              	3370500        	670700
