Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2549200    	131500    	60300      	3336500              	88300        	28100
200   	5666800    	201700    	128700      	4043200              	180300        	49600
300   	5549200    	248400    	114100      	6191200              	255100        	67900
400   	10026900    	533500    	139600      	7131400              	360600        	91000
500   	5702200    	406400    	183300      	7742700              	396700        	96700
600   	7519000    	631500    	248400      	9292600              	496000        	120400
700   	7877800    	382200    	169600      	7485800              	394200        	96200
800   	11732000    	558200    	242700      	9653800              	464000        	108300
900   	21351900    	1677100    	519100      	15485300              	1043400        	185300
1000   	16633900    	739100    	322100      	11036900              	856600        	150900
1100   	18542200    	640000    	271900      	12225200              	701000        	149100
1200   	14198300    	1061300    	452700      	20200800              	1313100        	295800
1300   	24724000    	1044600    	440000      	17722500              	922300        	213900
1400   	22522100    	1545900    	389500      	31694300              	1542100        	578700
1500   	23295900    	1383400    	532700      	21277200              	1985100        	286300
1600   	21328000    	1225300    	516400      	22560200              	1474500        	311600
1700   	31763400    	1070500    	449200      	25562700              	1476600        	480800
1800   	22181100    	1248100    	503200      	32833100              	1304600        	602100
1900   	30492900    	1206200    	511000      	21918500              	1299700        	269700
2000   	23133700    	1279500    	529200      	25688700              	2958700        	643900
2100   	30095100    	2994500    	1360600      	35468700              	1645900        	317200
2200   	43348400    	1876300    	737500      	33216800              	2974500        	706600
2300   	42030500    	1557400    	805700      	33034400              	1619600        	347300
2400   	41128100    	1800100    	1322000      	32001100              	2281800        	488000
2500   	31602600    	1667700    	692000      	30701800              	1746900        	368800
2600   	33791800    	1698100    	718100      	34654700              	1777200        	389800
2700   	35369900    	2222000    	925800      	33410700              	2594000        	528900
2800   	35003700    	3083300    	831800      	43702200              	2098100        	430500
2900   	37276100    	2473700    	1017800      	42564500              	4554800        	957200
3000   	45061500    	3006900    	1243800      	41191100              	2141600        	438700
3100   	56589300    	2938800    	1047100      	64571000              	2874800        	597000
3200   	37199700    	2213900    	904700      	35130200              	2273900        	533800
3300   	43072400    	2622100    	1342300      	45232500              	4505600        	515400
3400   	50427300    	2609500    	1015400      	40021500              	2406400        	526400
3500   	39786100    	4486600    	972900      	54027100              	4113800        	1158400
3600   	59870100    	4462000    	1821000      	62602100              	3089600        	766300
3700   	73986200    	4973700    	2144600      	61636400              	3899800        	835300
3800   	60638800    	3001800    	1146200      	63425400              	5260100        	1212500
3900   	72710000    	4213500    	1875100      	46115300              	2832200        	581000
4000   	70169600    	4212900    	2889700      	56106400              	3238400        	627200
4100   	53882500    	3184500    	1242000      	56650800              	7033600        	1244100
4200   	59681100    	2924700    	1287700      	50912000              	3438400        	659600
4300   	52720300    	3498000    	2292800      	66677200              	3655500        	677600
4400   	77598400    	3146400    	1304400      	59610500              	7390300        	1482600
4500   	64324300    	7587400    	2922200      	69243400              	3289200        	676700
4600   	77322400    	6629100    	3035900      	78913300              	7702900        	1653800
4700   	78158700    	3705500    	1967900      	93085200              	8741900        	857800
4800   	104874900    	5339900    	2218400      	67642700              	6321000        	725100
4900   	89366600    	3852400    	1603200      	73241900              	3642400        	744200
5000   	90821500    	4251800    	1771200      	95285200              	3864100        	1279600
5100   	63933200    	4119800    	1591300      	86921100              	7663100        	1618800
5200   	82127800    	3756200    	1517400      	69480100              	4614800        	877400
5300   	86283700    	3846000    	1586400      	62410600              	4480300        	881400
5400   	91781300    	7714000    	1672800      	97103900              	7913400        	1982200
5500   	89234500    	4470600    	1797300      	64074300              	4188700        	841200
5600   	110617900    	6004900    	3006300      	75418000              	6007100        	931900
5700   	102298800    	5725800    	1724400      	86988900              	6012800        	1353300
5800   	89625000    	5589200    	2278800      	87323700              	4990300        	948600
5900   	81541300    	5296600    	1776800      	73674200              	4739300        	920500
6000   	86949300    	6409500    	4463300      	106279400              	10987300        	2140800
6100   	79471000    	8297300    	1975200      	134414800              	10623000        	2359700
6200   	120900600    	7853300    	4728200      	112105400              	7210500        	1495100
6300   	92765200    	4700800    	2589800      	83425800              	5042900        	967600
6400   	116802200    	5938700    	2709800      	94327700              	8724800        	1703500
6500   	89042400    	4800200    	2203700      	88551400              	8699700        	1016000
6600   	113295600    	6166100    	2561800      	87654400              	6341700        	1269600
6700   	110483800    	5585200    	2205300      	89361700              	6454900        	1290900
6800   	82737200    	5047800    	2162000      	78817600              	7285000        	1287700
6900   	125676800    	13605700    	5212400      	115951300              	5474200        	1065800
7000   	101486600    	5286600    	2092400      	129870900              	6436900        	1257800
7100   	122969900    	11926000    	3066600      	166239500              	9190000        	3083200
7200   	88878900    	13512200    	4374400      	109603600              	11105400        	2514000
