Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1518600    	40900    	23600      	1819600              	77200        	22400
200   	4756900    	181100    	114500      	2816500              	113600        	32100
300   	3867500    	172400    	78700      	3964400              	181400        	48700
400   	4377000    	249500    	115300      	4078200              	204000        	51500
500   	6062700    	315900    	142300      	5108400              	262600        	64600
600   	6372700    	317300    	139300      	6361600              	328400        	80300
700   	7556100    	376600    	166600      	7290300              	394000        	95800
800   	10658200    	546900    	240600      	10363400              	517800        	114900
900   	22183600    	1161700    	570100      	16502300              	572900        	132700
1000   	19139000    	810800    	345100      	12118300              	645500        	146900
1100   	14143900    	1517500    	587500      	25892300              	1161600        	260600
1200   	13272600    	700600    	300900      	15285400              	1107500        	374600
1300   	14130300    	774200    	330700      	18848200              	1060600        	233300
1400   	17437300    	1898700    	800900      	29485900              	1419900        	320100
1500   	23721600    	1374800    	577500      	18835500              	1009600        	224500
1600   	22449800    	990100    	439400      	17754400              	1023100        	224800
1700   	23869200    	1172200    	653100      	20460600              	1233200        	256700
1800   	32642600    	1727400    	733900      	21174700              	1224100        	258900
1900   	26847400    	1544300    	688900      	20963300              	1522900        	268200
2000   	36579000    	1889100    	721600      	25909400              	1313800        	281800
2100   	22899900    	1337700    	607600      	22551600              	1385300        	294100
2200   	24627700    	1408300    	599500      	23651400              	1525800        	310900
2300   	28445300    	1721400    	742900      	32008600              	1945600        	335400
2400   	28865100    	1556100    	700600      	26071100              	1626000        	347000
2500   	42759600    	1634200    	677800      	28692800              	3885600        	826800
2600   	37436400    	1913000    	769600      	40507600              	1779000        	413400
2700   	30609000    	2037300    	851200      	35292300              	1868500        	396300
2800   	32003000    	1862500    	773600      	31005400              	1944700        	409900
2900   	44128700    	2481600    	996800      	34752300              	2518400        	530200
3000   	48438500    	2794900    	1146500      	39977300              	2635000        	551500
3100   	39331700    	2899400    	1108300      	40176000              	2368100        	451000
3200   	43172800    	2173700    	884600      	35251900              	2246300        	473000
3300   	44109600    	2239600    	910200      	41777900              	2449400        	484200
3400   	48999600    	2327500    	951800      	38824100              	2688800        	531800
3500   	53429200    	2399100    	978500      	46012000              	4353300        	1268200
3600   	47546700    	2757500    	1088700      	43567000              	2576000        	536700
3700   	46886400    	2548700    	1066000      	50033400              	3076200        	580200
3800   	59970300    	2622600    	1092700      	41856100              	2728600        	560100
3900   	51918200    	2696000    	1101600      	74911900              	6410500        	1735800
4000   	44955000    	2937200    	1134200      	43942000              	2986300        	595800
4100   	73646500    	3197600    	1254400      	51430300              	3345700        	644500
4200   	73612400    	2945100    	1214500      	54960300              	3311900        	616700
4300   	89465300    	4533300    	1990000      	49980800              	5513100        	985500
4400   	67188200    	3086100    	1259500      	48789300              	3213400        	652300
4500   	50565200    	3178800    	1935200      	66080600              	3740200        	720800
4600   	76901600    	5929000    	2684600      	54082000              	3402900        	696100
4700   	84626300    	7464800    	3065400      	63601400              	3568100        	708300
4800   	58376600    	5658800    	1406700      	65470000              	4122100        	781700
4900   	84105500    	4835000    	1929300      	61287200              	6772500        	1700000
5000   	84180500    	3808200    	1560300      	80701300              	3880500        	827300
5100   	68722800    	3691900    	1478100      	57996400              	5699800        	1169400
5200   	100026100    	7305900    	3322000      	98578000              	4869300        	1020600
5300   	91789400    	3887900    	1574000      	72879100              	5022500        	1019600
5400   	103936100    	5239500    	2069700      	76579300              	4061000        	834900
5500   	67162000    	3983700    	1630800      	73135800              	5197500        	1058300
5600   	101965900    	4068700    	1669500      	66858100              	4922800        	921500
5700   	80493600    	4283400    	1660600      	69681300              	4811500        	934400
5800   	83374500    	4487100    	1696300      	88990900              	10647500        	2211200
