Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1830900    	54300    	28300      	1440600              	58500        	18200
200   	4936000    	250200    	102100      	3875500              	134900        	37800
300   	4983700    	244100    	88000      	3493000              	145500        	38800
400   	4146900    	206000    	89900      	4064700              	204300        	50900
500   	12592800    	325300    	153900      	5811600              	295800        	69000
600   	13301700    	551000    	244100      	11808400              	580400        	141800
700   	7465700    	376700    	167000      	9427100              	494900        	119400
800   	9969200    	445500    	192700      	8321100              	462800        	106900
900   	17741300    	643500    	285200      	10258500              	536200        	122300
1000   	13375200    	755600    	306400      	10778800              	591600        	134300
1100   	12104400    	638400    	272100      	11572400              	662400        	149200
1200   	17074800    	881700    	379300      	16309800              	1336100        	282700
1300   	20695700    	778900    	329500      	24987900              	807200        	183400
1400   	16857100    	839400    	359700      	15102900              	879700        	198300
1500   	20649600    	988100    	388800      	16198000              	948600        	208400
1600   	17860000    	980800    	415700      	18670900              	1143500        	239300
1700   	27467900    	1050000    	438400      	22721900              	1825600        	255900
1800   	30910600    	1121800    	475800      	19859000              	1170200        	253300
1900   	21349300    	1270600    	498500      	20597800              	1242800        	268700
2000   	21839200    	1259500    	528100      	25527700              	2626300        	564100
2100   	24093700    	1841100    	594300      	40761400              	1387300        	294500
2200   	33523300    	2114300    	888800      	24567600              	1463700        	310900
2300   	25290100    	1481700    	631800      	25223400              	1659000        	330800
2400   	39736700    	1748300    	713600      	36767400              	2729700        	554200
2500   	29764900    	1625200    	677100      	28146200              	1694800        	361900
2600   	44122800    	1780000    	715000      	46418300              	3025900        	923300
2700   	35974700    	2176400    	1352800      	34036500              	1905500        	396900
2800   	33052100    	2320500    	964600      	34069800              	1929900        	411100
2900   	39023800    	1932200    	805400      	40116200              	2551400        	528900
3000   	37310300    	1995200    	837600      	37976000              	2722400        	553400
3100   	39208600    	2086600    	852600      	47556100              	2919300        	584900
3200   	37498100    	3180700    	1120000      	35612800              	2244200        	467100
3300   	40966600    	2493700    	993300      	53251100              	2971500        	615500
3400   	57891500    	3868500    	1541900      	47640500              	2469700        	499000
3500   	51295800    	3669000    	1465300      	51197100              	3157600        	736900
3600   	43504500    	2454700    	1004900      	40037600              	3217000        	617300
3700   	56492000    	3345100    	1413500      	53054300              	3810400        	593800
3800   	43164700    	2620600    	1090300      	45931300              	3072400        	559900
3900   	58959600    	3770000    	1806200      	59944300              	2799200        	575500
4000   	50050300    	3476400    	1455400      	46076300              	3037300        	589300
4100   	56842700    	2953200    	1201900      	52640000              	3910100        	756900
4200   	56282200    	3673400    	1685700      	51956000              	3789100        	669100
4300   	73359500    	3908900    	1338300      	50051700              	3146500        	635700
4400   	51889800    	3445400    	1342700      	56926900              	3216100        	662900
4500   	85227000    	3607200    	2054800      	52518100              	3290400        	668500
4600   	77434900    	4008000    	1340100      	51070800              	3454200        	689700
4700   	72630500    	3414800    	1347900      	60484300              	3570200        	707900
4800   	62225400    	3401400    	1403500      	53406800              	3558500        	728200
4900   	63297600    	3484100    	1431900      	74566600              	3688600        	914800
5000   	77324500    	4522400    	1633800      	69158400              	4628000        	962800
5100   	58103600    	3635000    	1479600      	57599500              	6348100        	779300
5200   	78660100    	3818500    	1499500      	77371700              	3899800        	793400
5300   	72145800    	7391200    	3781900      	62994100              	4441100        	896100
5400   	77920000    	3972700    	1591500      	87206000              	4128900        	851300
5500   	78608200    	3961700    	1639300      	72906300              	8467200        	846800
5600   	95510300    	4292200    	1871100      	94335100              	4504000        	1123700
5700   	71872200    	7146600    	1686500      	76403200              	4357300        	876700
5800   	98752900    	4260000    	1757300      	69952800              	4429800        	1130300
5900   	93727200    	5434300    	2165500      	71012000              	4551200        	903200
6000   	84388700    	4681900    	1866900      	75264300              	5762400        	1150100
6100   	105993500    	4632000    	1810500      	79432700              	6025200        	1203500
6200   	71814700    	4567700    	1852100      	87387600              	5927100        	1193900
6300   	83259000    	5896600    	2543900      	102919100              	10740100        	2177200
6400   	72478200    	4755700    	1946100      	99605000              	7282200        	1050100
6500   	92495700    	7184200    	3662900      	83785600              	6331100        	1251300
6600   	93797700    	6121800    	2445600      	84798400              	5110600        	1015500
6700   	90663200    	5036600    	2034400      	83330900              	5553300        	1309000
6800   	102754500    	7668700    	2580100      	87401900              	10528200        	1101700
6900   	93026900    	5110700    	2045500      	86013300              	7863400        	1642100
7000   	90783700    	5695100    	2125200      	101910200              	6222100        	1165300
