Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1370800    	168800    	48000      	1266200              	73700        	23900
200   	5786300    	580600    	54600      	4815400              	150000        	36500
300   	6010100    	246900    	113900      	5612400              	5932800        	28735100
400   	5415900    	224100    	96800      	7463300              	398200        	108800
500   	8379200    	1009400    	528200      	6976500              	304800        	71000
600   	14397100    	358700    	161000      	7536700              	584200        	87400
700   	9225500    	486300    	209000      	9329800              	460300        	104100
800   	12200200    	537400    	208200      	10821000              	587600        	139200
900   	10927400    	581300    	235800      	11301900              	590100        	130000
1000   	11816100    	580100    	248000      	12589000              	663800        	143000
1100   	13197000    	634200    	273300      	13397800              	660300        	150700
1200   	14535700    	707800    	336100      	14161000              	747800        	166600
1300   	16149200    	776100    	334100      	17555900              	1010900        	228500
1400   	17875600    	1286400    	538900      	21837800              	1096400        	263700
1500   	19572400    	907900    	381900      	20257700              	1191700        	263000
1600   	22342100    	1265200    	527600      	17837800              	1018900        	224800
1700   	18989700    	1053500    	530200      	20680600              	1639900        	357300
1800   	29427900    	1729900    	713600      	30621700              	1571800        	348100
1900   	26474300    	2097400    	989600      	25219400              	1292000        	269100
2000   	22106900    	1257500    	529500      	23422600              	1317000        	280900
2100   	23630900    	1346300    	573100      	22579300              	1381900        	294800
2200   	31067800    	2722100    	999600      	28723200              	1640300        	333800
2300   	32367500    	1500000    	621200      	28151500              	1556100        	333000
2400   	26490900    	1556000    	646800      	25970000              	1633200        	344200
2500   	35415000    	1985700    	879200      	47295200              	3009900        	684900
2600   	34247400    	1768700    	706700      	33608200              	1965700        	518900
2700   	37020200    	2005200    	792700      	34254200              	2081000        	424200
2800   	38654900    	2071900    	1056200      	34753500              	2907000        	616500
2900   	35330900    	1927700    	803700      	32508500              	2259500        	455000
3000   	47157600    	2006800    	821000      	46926500              	3174200        	662800
3100   	45423200    	2146800    	907100      	36967900              	3275100        	679700
3200   	41417600    	2150100    	881000      	40684500              	2525400        	500100
3300   	39956500    	2233300    	923200      	37190500              	2381900        	485900
