Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1556700    	55500    	26000      	993500              	39600        	12400
200   	2469000    	149200    	41500      	3977800              	574100        	35600
300   	4305200    	141000    	65200      	3084400              	148400        	39300
400   	4571700    	197800    	90600      	4109900              	211900        	52200
500   	7098800    	305900    	129900      	7382300              	327500        	89900
600   	9581400    	360400    	192100      	8207200              	1704400        	129400
700   	9196800    	426700    	178500      	10021600              	721900        	157800
800   	13487900    	770300    	291800      	12213900              	526400        	118800
900   	12060000    	513100    	231600      	10018800              	585300        	125000
1000   	14238300    	1007300    	353100      	13198100              	611000        	138100
1100   	13027200    	631400    	275000      	13971000              	662100        	153200
1200   	15633800    	708700    	309200      	17610500              	960900        	168100
1300   	18843700    	1016700    	332400      	18683400              	923500        	199000
1400   	18539600    	852100    	376600      	19189900              	1128200        	251200
1500   	18824500    	1035100    	420400      	18771200              	963100        	212200
1600   	21151000    	1108100    	454800      	19905300              	1158300        	239300
1700   	25728600    	2098600    	691000      	21900800              	1095900        	239800
1800   	25089100    	1565000    	635900      	25586000              	1770600        	321600
1900   	27067200    	1490900    	701400      	24370700              	1237900        	268200
2000   	24869400    	1712000    	698900      	43739800              	2507100        	496600
2100   	47409900    	2130800    	830500      	36212400              	4031400        	348100
2200   	46060600    	1789300    	683200      	40248400              	5047100        	363300
2300   	62648500    	1896700    	1052800      	39158500              	1904500        	717000
2400   	47798300    	1950000    	774300      	42635700              	2462300        	459100
2500   	55731400    	3241900    	917000      	44841100              	2883800        	789000
2600   	55714600    	3086300    	1229400      	46000700              	2406000        	411200
2700   	39004700    	2394600    	1312100      	35249500              	1875300        	395700
2800   	37184300    	1936600    	763100      	32039700              	2377800        	411400
2900   	40277600    	2102600    	927200      	37454700              	2264000        	483600
3000   	39158700    	2776400    	1039800      	40664400              	2113900        	436400
3100   	42225500    	3149300    	1096300      	50889600              	2306700        	452600
3200   	39823000    	2155600    	894700      	35485600              	2274100        	471500
3300   	47313900    	3687500    	1622400      	53980400              	3262900        	845000
3400   	44848800    	2898200    	2158500      	57604800              	3511700        	835800
3500   	68683300    	3520000    	1640800      	52707200              	2866500        	702200
3600   	62862900    	6546700    	1193100      	65793800              	6893200        	1334600
3700   	76038200    	8159600    	2317600      	61608400              	3438800        	595300
3800   	58008200    	5067200    	1570200      	57954500              	3085800        	605100
3900   	51349700    	2698500    	1384400      	51287000              	3111900        	706100
4000   	76197800    	3914200    	1168400      	59866400              	3552500        	680800
4100   	56553600    	3177600    	1276900      	57724100              	3999700        	751600
4200   	57928500    	3661600    	1518000      	61139400              	3913100        	803800
4300   	59461800    	3100500    	1442000      	54901300              	3117100        	636600
4400   	77104200    	9276100    	2191400      	71755400              	3995800        	719800
4500   	65456600    	4563800    	1850300      	60242200              	3435900        	763800
4600   	71911100    	3727800    	1821400      	58724300              	4877100        	736500
4700   	62401400    	3614000    	1402000      	59917300              	4345300        	1112500
4800   	69546800    	5185000    	1741300      	74569200              	4679700        	1139500
4900   	64980900    	4380800    	1834900      	64073500              	3653100        	755400
5000   	68912200    	5225500    	2229700      	69181000              	6830800        	1340400
5100   	73805300    	5275000    	1954900      	79489800              	4935100        	1137500
5200   	84356600    	4671900    	1883700      	91289500              	6765600        	1635200
5300   	79604400    	4805500    	2086700      	69978400              	10542400        	1867300
5400   	81271700    	4905700    	1980700      	84239500              	5162000        	1080500
5500   	90112500    	3985200    	1643300      	75917800              	5133900        	841200
5600   	71389100    	5737200    	1636500      	94216000              	6099600        	1802300
5700   	81680900    	4647300    	1824500      	109795600              	4706000        	963000
5800   	108655500    	7789900    	2997300      	80272000              	5810100        	887900
5900   	101376800    	4342600    	1753100      	106736800              	4997900        	1006600
6000   	129024500    	5706200    	2050700      	86950400              	5146200        	985200
6100   	108019300    	7276300    	1828500      	118382200              	4986400        	1163800
6200   	104730700    	4840200    	1963800      	106153300              	9087600        	1232200
6300   	96006900    	4793300    	2081500      	106603500              	6384300        	968800
6400   	127573500    	8095300    	3603100      	92573000              	6743800        	1311200
6500   	101571800    	6181300    	2341000      	95407900              	5690100        	1065700
6600   	110734400    	8205200    	3020100      	100925500              	5130400        	1029700
6700   	103738700    	5007900    	2079100      	87207000              	6870900        	1031200
6800   	100712500    	6102600    	2085300      	95382200              	7182100        	1729800
6900   	109974800    	10787100    	3512300      	119727600              	6662300        	1357300
7000   	160242500    	8366200    	2358000      	116657900              	6361800        	1503000
7100   	104915900    	5393800    	2217400      	128194100              	9992200        	1947400
7200   	169951300    	6410400    	2386900      	109953100              	7327800        	1194000
7300   	97033500    	6856500    	2732700      	101552400              	8552700        	2023700
7400   	102292800    	7129700    	2387700      	101071900              	9465500        	1519500
7500   	114625700    	5867700    	2875400      	102267100              	7012900        	1201900
7600   	105506000    	7334700    	2573600      	104564600              	7439300        	1203900
7700   	112992900    	8126300    	3068900      	110888000              	7721700        	1503300
7800   	111135700    	9046600    	3554300      	108278100              	7644700        	1585700
7900   	113651900    	8969800    	4810100      	138657100              	11388600        	2921200
8000   	145104600    	11881500    	5548600      	130329000              	7967000        	1927600
8100   	145911200    	9082500    	3262300      	110598800              	8118400        	1606000
8200   	124341800    	7630700    	2514500      	142146100              	6721900        	1278100
8300   	119315100    	7440700    	2739300      	143101200              	10959500        	1298100
8400   	139956200    	6409600    	2557200      	121254100              	16085900        	3073000
8500   	155613400    	7141100    	3920600      	121546200              	8867700        	1724700
8600   	135420200    	8620400    	3581700      	144077200              	16116200        	2571300
8700   	125473600    	11907300    	6121800      	137652900              	14313800        	3163300
8800   	163428400    	7770600    	2885300      	148163900              	7118800        	1392400
8900   	146082100    	8275200    	3244100      	129325700              	7168000        	1408500
9000   	177590700    	7251000    	3995400      	162364800              	10909700        	1427800
9100   	152785200    	9246600    	5403800      	146213800              	7389400        	2093000
9200   	143393800    	11662600    	3521200      	125163300              	8448300        	2213600
9300   	128165200    	12474400    	3695000      	196530200              	13206800        	2415500
9400   	153174200    	10135900    	3185400      	156109400              	8773500        	2722700
9500   	136012700    	7386400    	3067700      	156549800              	11254800        	1695700
9600   	142688500    	19288000    	7737700      	150345700              	9253700        	2037600
9700   	140791100    	12556300    	4983900      	171869300              	12256700        	2540000
9800   	158701400    	12887200    	3839600      	141061400              	9784700        	1968800
9900   	150755800    	11001000    	3521400      	134815600              	9696800        	1600900
10000   	162906800    	9398700    	3077200      	148725100              	8128700        	1655500
