Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2597500    	92900    	46200      	3151500              	144200        	40600
200   	4010800    	155100    	81000      	3416100              	158000        	44700
300   	5736100    	176200    	80300      	4059800              	182100        	48700
400   	7356000    	194900    	89100      	4042800              	204400        	51300
500   	5789300    	282100    	120400      	6657300              	373400        	86600
600   	6344500    	316000    	138000      	6997700              	330200        	80500
700   	12943200    	421900    	177500      	7576500              	394700        	95000
800   	15888100    	661100    	318300      	10826500              	577200        	133600
900   	14483300    	654200    	302300      	12962200              	727500        	166300
1000   	12036900    	576200    	250900      	12166500              	743900        	183800
1100   	20172300    	960400    	412100      	16323100              	1259700        	428000
1200   	17053700    	1432700    	598300      	15730400              	832100        	179900
1300   	17732700    	780100    	330300      	14211600              	813200        	186600
1400   	22965500    	1894700    	812400      	34075100              	1676500        	376400
1500   	26983500    	1153600    	476800      	23896300              	1585300        	312100
1600   	30288800    	2039100    	856500      	29989300              	1412500        	308200
1700   	24147900    	1075500    	461900      	18131400              	1092500        	245200
1800   	25078200    	1686100    	709600      	26806600              	1532600        	333000
1900   	37970800    	1195900    	498600      	20897400              	1234000        	267900
2000   	22246700    	1261400    	532100      	21474300              	1316200        	280200
2100   	33371300    	1370700    	572800      	22831400              	1385300        	293800
2200   	27492600    	1407800    	585400      	26096800              	3521000        	430700
2300   	32369800    	1672100    	665200      	28574300              	1723200        	351000
2400   	32155800    	1557000    	649500      	26528600              	1617000        	346800
2500   	44846700    	1623600    	700300      	41923100              	1906000        	389000
2600   	36083700    	1704600    	709700      	31795800              	1792800        	383200
2700   	41270200    	2009100    	803800      	33527600              	2081500        	423700
2800   	35633700    	2809000    	1167800      	45201900              	2284000        	464000
2900   	41150600    	3439400    	1244600      	44285800              	2198600        	470700
3000   	46433000    	2853700    	1314400      	50358800              	4185200        	874300
3100   	53123000    	2258000    	950800      	34041700              	2172400        	451300
3200   	65303100    	4391000    	2142800      	47867900              	2414500        	503000
3300   	37462600    	2255100    	912100      	35841000              	2329600        	484800
3400   	69690000    	3675700    	1547400      	38631200              	2403900        	499200
3500   	49401700    	2426500    	1027600      	48272500              	2568100        	537000
3600   	49509900    	2535400    	1146000      	46284000              	3298800        	666500
3700   	44827700    	3177700    	1307800      	69844200              	2948900        	614500
3800   	55359300    	2700100    	1069500      	45035200              	3079500        	599900
3900   	49045600    	2689000    	1102300      	46216700              	3169500        	666700
4000   	70681300    	2927000    	1197600      	54972800              	6626000        	1350100
4100   	79577500    	5019100    	2070500      	49821000              	3027400        	601900
4200   	59361800    	3000000    	1240600      	70632500              	4616600        	956600
4300   	54597600    	3015200    	1216800      	47175800              	3423200        	633900
