Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1750700    	59400    	28400      	1441600              	48600        	15300
200   	2484400    	120700    	55900      	2330200              	102100        	27600
300   	3901400    	156900    	68100      	3464500              	162900        	41200
400   	4610100    	217000    	94000      	4529400              	227700        	54700
500   	5788600    	281200    	123500      	5711400              	293700        	68400
600   	6571900    	313800    	140800      	6181000              	327800        	79400
700   	8108900    	377900    	163600      	7300500              	394300        	95500
800   	9382400    	665400    	242100      	10580100              	468000        	114700
900   	10269500    	513400    	224400      	9522600              	535300        	122000
1000   	11543000    	569600    	244900      	10530800              	592200        	135200
1100   	11680100    	633600    	273700      	11663400              	662200        	149000
1200   	16352600    	699900    	300100      	12701200              	732300        	166200
1300   	14104000    	767900    	330600      	13881400              	804900        	181800
1400   	17146100    	839700    	358800      	15030000              	877800        	198600
1500   	19925700    	1264400    	386000      	17812600              	963500        	211400
1600   	17660500    	974500    	413300      	16974100              	1019300        	224400
1700   	21078700    	1574700    	663900      	20165500              	1092900        	239100
1800   	21234700    	1120000    	478300      	19274800              	1165700        	253600
1900   	23443900    	1194000    	496500      	22945900              	2183100        	537800
2000   	24989000    	1265200    	531100      	22238100              	1311700        	279900
2100   	27935300    	1335100    	549500      	22445400              	1384600        	295000
2200   	28373300    	1696600    	594300      	25380000              	1459400        	311700
2300   	27427700    	1801700    	803400      	26274800              	1538600        	328300
2400   	26788300    	1557100    	646800      	26213800              	1617200        	345600
2500   	27592700    	1646700    	678200      	28444100              	2626800        	549300
2600   	35394400    	1703100    	698400      	34723000              	1789600        	380300
2700   	30501000    	1775500    	741000      	32366200              	1855600        	396000
2800   	36098600    	1862700    	774400      	34655300              	1981300        	416800
2900   	36663000    	2905500    	899100      	34673300              	2011400        	423000
3000   	37802800    	2237200    	876800      	33251100              	2090600        	435800
3100   	34414600    	2075900    	859100      	35585800              	2528000        	521800
3200   	39496200    	2160000    	901000      	35261400              	2247400        	469300
3300   	37190700    	2230400    	916100      	35744900              	2323600        	483500
3400   	40378600    	2820500    	1071900      	41047600              	2552100        	507100
3500   	39987500    	2892900    	988400      	44612800              	2795100        	546800
