Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1530600    	45600    	24200      	1264600              	48600        	15000
200   	2690700    	110300    	51400      	2460700              	199700        	31200
300   	3910400    	174300    	80700      	5361700              	163800        	41500
400   	4770800    	197200    	88200      	4265600              	206300        	51700
500   	6241900    	254800    	115200      	5520900              	319600        	69000
600   	6482400    	315000    	140000      	6229000              	329400        	82600
700   	7651600    	376200    	166700      	8759000              	395700        	95100
800   	8678300    	441400    	191700      	10442700              	598200        	134300
900   	9660000    	503600    	219600      	9733100              	765400        	122100
1000   	20680500    	715400    	310800      	14603500              	763000        	172200
1100   	17842800    	967600    	419400      	12447800              	674600        	152400
1200   	16205400    	909300    	375200      	15742000              	1648800        	230500
1300   	14436400    	772300    	331900      	15471800              	1011700        	228400
1400   	15683600    	836700    	355800      	15209300              	877000        	199800
1500   	21016500    	1160900    	480700      	19049700              	1670300        	367300
1600   	21821100    	1039400    	916400      	17161000              	1021600        	223700
1700   	21264800    	1311100    	556000      	27729400              	1330500        	293600
1800   	34587900    	2195600    	851200      	23562900              	1250400        	256500
1900   	25745300    	1191600    	512000      	20548800              	1241000        	267300
2000   	21655600    	1259300    	535300      	23847000              	1473700        	298400
2100   	45492800    	1485100    	595000      	31922200              	1459100        	294900
2200   	30078400    	1407000    	591600      	23744000              	1466100        	310400
2300   	29480500    	1477200    	628400      	24841200              	1536100        	330000
2400   	38036400    	1551900    	658900      	26082200              	1761100        	347500
2500   	32777300    	1819600    	743000      	31267900              	2122200        	454000
2600   	30008300    	1891500    	924900      	40338200              	1980700        	387000
2700   	41799600    	1988900    	800000      	34228700              	1999700        	396000
2800   	32394900    	1854400    	766200      	35736700              	1931900        	411800
2900   	43513300    	1967100    	803600      	34940300              	2253800        	462400
3000   	36214700    	2794700    	955400      	36008100              	2091800        	436500
3100   	39890900    	2077000    	855700      	40830300              	4504200        	515400
3200   	52578700    	2218500    	901800      	38446600              	2890800        	587400
3300   	43977200    	2961800    	1185200      	39782000              	2929600        	822600
3400   	44548600    	2467300    	1007100      	37082900              	2403300        	500600
3500   	47780300    	4350400    	1295000      	46789800              	2480300        	546300
3600   	69057000    	2543000    	1043800      	49836100              	3899600        	802100
