Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1058500    	37300    	18900      	960800              	39100        	12100
200   	3311400    	145300    	57400      	3148900              	91500        	25300
300   	3440100    	141000    	65300      	3091800              	146400        	38900
400   	4707100    	196200    	89100      	4048200              	204600        	51500
500   	5664600    	253900    	116000      	5081800              	264400        	65300
600   	8148800    	314300    	138000      	6192100              	330500        	79600
700   	7546700    	378300    	172000      	7325700              	392400        	95400
800   	8458800    	445000    	192500      	8285400              	459800        	107200
900   	11619800    	502400    	217200      	12005400              	531300        	122400
1000   	11387900    	572500    	257900      	10487100              	590700        	133800
1100   	12912200    	951600    	409700      	12154200              	662300        	150100
1200   	12904900    	699900    	301300      	12598500              	753300        	165900
1300   	14182700    	773400    	327000      	15958400              	807400        	188700
1400   	16755500    	842200    	358400      	17009000              	888100        	199700
1500   	17241700    	905900    	386000      	18193600              	1564400        	324300
1600   	20531600    	989800    	419300      	17056800              	1025100        	243500
1700   	21301900    	1055000    	442000      	20622800              	1518500        	239300
1800   	20029100    	1119400    	485000      	19403600              	1164600        	253400
1900   	22726900    	1210900    	501700      	20489900              	1241400        	268200
2000   	24659400    	1313600    	532600      	24134300              	1993600        	414400
2100   	25772500    	1335500    	560000      	24749100              	1431200        	294700
2200   	25504200    	1404500    	585000      	25398300              	1462300        	312700
2300   	24931500    	1477200    	615000      	24683800              	1541200        	328100
2400   	31053700    	3910300    	5097100      	42407600              	1876900        	378900
2500   	32621300    	2442700    	1016800      	27433000              	1696200        	361400
2600   	33920900    	1897700    	750000      	31764300              	1889400        	382400
2700   	32694900    	1776800    	740100      	35296500              	1878200        	401300
2800   	33470700    	2024300    	1195700      	33813800              	1961200        	419600
2900   	33877100    	1926800    	789500      	35085900              	2325300        	430300
3000   	36947200    	2007600    	826300      	38197300              	2329100        	439400
3100   	39201900    	2074600    	864100      	39257900              	2426400        	482900
3200   	40462300    	2290000    	880900      	36950400              	3143400        	706400
3300   	41169300    	2230900    	914300      	35714600              	2320100        	483000
3400   	43738700    	2334000    	976800      	42130900              	2404100        	518400
3500   	44194000    	2383200    	973600      	38288700              	2482500        	514300
3600   	45240700    	2748200    	1071200      	43235300              	2663300        	537400
3700   	44886700    	2538900    	1096100      	40964200              	2645700        	548300
3800   	44002400    	2613500    	1085200      	44863700              	3237400        	718700
3900   	48093200    	2695300    	1099300      	44799600              	3130900        	610300
4000   	50840700    	2809700    	1129400      	44231400              	3112200        	597600
4100   	54335000    	2834400    	1199200      	49180200              	4356200        	601500
4200   	50168200    	2930300    	1214400      	49529000              	3998000        	619900
4300   	49044800    	3010000    	1231000      	46709200              	3123200        	635100
4400   	55137400    	3072700    	1260300      	51711300              	3225700        	651800
4500   	51914500    	3203900    	1292100      	49815300              	4505100        	1003500
4600   	53525900    	3348100    	1651100      	52650000              	3377800        	687400
4700   	54091100    	3331600    	1361500      	55924100              	3475000        	706500
4800   	57244200    	3413300    	1387900      	59755000              	3551300        	727000
4900   	58801300    	3477600    	1407700      	60170800              	3636100        	746000
5000   	60120700    	4627800    	1445800      	56742100              	3750200        	760600
5100   	65622100    	3687900    	1540900      	63673500              	3803500        	776900
5200   	60570600    	3743600    	1555500      	63904200              	4332700        	846800
5300   	64238700    	3851200    	1548300      	58802000              	4029200        	808400
5400   	67835600    	3951600    	1581400      	63599600              	4543900        	882200
5500   	66749900    	4049600    	1614900      	67671300              	4135900        	848000
5600   	63886500    	6069700    	1779300      	62436000              	4226500        	860700
5700   	77313100    	4625600    	1795700      	65137200              	4309600        	873900
5800   	68036700    	4214100    	1773100      	72604500              	4474600        	948100
5900   	67404400    	4293600    	1742400      	72840100              	4501800        	1118700
