Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2175500    	55200    	28700      	1208100              	48900        	15200
200   	2034000    	85800    	53000      	2168200              	114200        	31800
300   	3114300    	139000    	63300      	3030000              	146000        	38700
400   	4776700    	331300    	119200      	4877400              	205500        	54900
500   	5183200    	252700    	112400      	5317800              	267500        	64700
600   	6303400    	314800    	142300      	6188400              	340200        	79500
700   	9242100    	377200    	170500      	10208700              	398200        	100700
800   	9446000    	556200    	242600      	8384900              	460700        	107400
900   	10695600    	505300    	226000      	11364000              	577200        	152700
1000   	13059600    	566400    	242400      	10540400              	595100        	134300
1100   	12036700    	670900    	272400      	11539700              	667600        	148900
1200   	12891800    	700600    	307500      	12658100              	730600        	165500
1300   	14485100    	770800    	328700      	13992300              	808700        	182300
1400   	16724700    	973800    	383200      	18116200              	1277800        	249000
1500   	18016500    	913600    	391700      	18227700              	1041300        	223400
1600   	21124500    	978600    	456100      	19364300              	1024600        	223700
1700   	19400700    	1052000    	476400      	18089500              	1111000        	239000
1800   	19573100    	1119300    	473300      	19381500              	1183800        	254300
1900   	23235300    	1791200    	713600      	23703400              	1246300        	268100
2000   	22204000    	1260300    	528600      	23922900              	1368500        	280900
2100   	23906800    	1332100    	558900      	25470800              	1387300        	296000
2200   	24942900    	1404200    	581200      	23577900              	1461100        	336800
2300   	27441600    	1736700    	1183200      	25763100              	1798300        	353600
2400   	28214000    	1555200    	649000      	26213500              	1621200        	423200
2500   	31039400    	1814700    	718300      	32880900              	1906200        	484700
2600   	29685500    	1708100    	724100      	31240300              	1773300        	381300
2700   	32613100    	1790500    	740100      	30175600              	1907300        	395700
2800   	32859100    	1924100    	782300      	33301000              	2100400        	411900
2900   	34735000    	1967600    	844500      	34728800              	2049000        	424200
3000   	38096700    	2015700    	829700      	35053100              	2095200        	469000
3100   	38638400    	3213900    	869700      	37458600              	2320400        	529900
3200   	36622300    	2147900    	885800      	35126900              	2246200        	467900
3300   	42128100    	2484400    	978300      	38847100              	2331700        	485900
3400   	43733700    	2728200    	1237200      	39286900              	2447200        	498600
3500   	41040000    	4135100    	1038800      	48799800              	2489100        	515400
3600   	44967200    	2533000    	1276100      	40769400              	2565000        	529300
3700   	41572000    	2547100    	1033700      	42951900              	2969200        	581800
3800   	46020700    	2620700    	1080400      	47085900              	2724000        	558000
3900   	50076600    	2693200    	1101000      	45154500              	2804400        	573700
4000   	46116300    	2788200    	1139200      	47944400              	2919500        	588600
4100   	49636700    	2858100    	1193100      	47403200              	2954300        	602200
4200   	52763700    	3373400    	1854900      	57082300              	3155400        	774300
4300   	64999800    	3218200    	1237600      	55673500              	5996800        	1119800
4400   	72488100    	3444600    	1339600      	76119500              	4010400        	1188500
4500   	69992400    	4565200    	1582300      	65576800              	3366600        	669100
4600   	55806700    	3474200    	1357500      	61759500              	3598000        	692400
4700   	60404000    	3375500    	1370200      	55229900              	4582100        	759500
4800   	58238900    	3396300    	1396700      	63969800              	3619400        	870300
4900   	60585800    	4128800    	1452000      	60449600              	5337900        	796600
5000   	87130600    	5368900    	2852800      	66682900              	3762900        	772500
5100   	61250800    	4436800    	1631100      	75005100              	4476100        	853400
5200   	66786800    	3727600    	1546300      	65345400              	4407900        	1030800
5300   	67610400    	5121100    	1656700      	65842000              	4862000        	838000
5400   	75949400    	4044600    	1613200      	64317400              	4064000        	827600
5500   	66995700    	4037100    	1778600      	75478400              	5131900        	846900
5600   	88250500    	8199600    	3914400      	100879000              	6044100        	934800
5700   	75472000    	4437500    	2491300      	81250400              	6323600        	1143700
5800   	82226500    	5103200    	2159700      	75215000              	5231700        	919800
5900   	118357800    	6626200    	1889100      	104611300              	6429700        	1462700
6000   	107804600    	8019700    	2219600      	88061700              	4709100        	1083800
6100   	77509800    	6235500    	2266800      	133833400              	8817100        	1453500
6200   	122735700    	7686600    	2138400      	96636200              	5194000        	1296700
6300   	85612400    	6946700    	1971600      	109353200              	6244700        	1839900
6400   	94137600    	4732300    	1924600      	121291500              	6709200        	1583000
6500   	93551300    	4905100    	2083200      	87238100              	5206800        	1321600
6600   	92002900    	7931300    	1977600      	99807400              	5884900        	1052300
6700   	99184300    	6023200    	2302100      	110775500              	5201200        	1035200
6800   	117067200    	8292300    	2600900      	93906800              	11226300        	1063200
6900   	98828900    	6136100    	2591500      	116409400              	6970500        	1203000
7000   	105273900    	5225000    	2233300      	102385500              	7485300        	1919600
7100   	125674400    	9888400    	3947700      	129604700              	8819900        	1498700
7200   	117492900    	9016600    	3870700      	136886500              	12755800        	1643800
7300   	133467000    	5529900    	2806600      	112672100              	7575200        	1946700
