Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2804000    	86000    	46100      	2187700              	89300        	28100
200   	2353300    	99400    	43700      	3848600              	164700        	33500
300   	6723200    	212300    	97100      	7736000              	584100        	64200
400   	8699400    	358700    	210200      	5823400              	205300        	52000
500   	9340700    	661900    	260300      	6374800              	295300        	73200
600   	10695800    	483700    	219500      	8918900              	412100        	99800
700   	8717500    	420800    	176800      	9512100              	558800        	127900
800   	11138500    	497500    	318000      	9218500              	461600        	107200
900   	10946200    	562900    	235900      	10249000              	539900        	122200
1000   	13552700    	731400    	325600      	11343900              	592800        	134700
1100   	15629100    	635100    	280900      	17149400              	1032800        	308200
1200   	17476600    	901600    	397000      	14639100              	946700        	207500
1300   	16642600    	1220900    	499600      	19896700              	1024600        	234700
1400   	18537800    	1108400    	531200      	20191700              	1536800        	349500
1500   	24218800    	1186800    	525200      	18022000              	1198900        	264700
1600   	25329400    	1188400    	525000      	24674900              	1106000        	224100
1700   	22433000    	1321200    	552700      	22760400              	1107300        	239400
1800   	27787500    	2569000    	1048700      	22690600              	1480300        	317600
1900   	21348000    	1206300    	503500      	27091000              	1242000        	268900
2000   	37376000    	2420100    	1075700      	30767600              	2182900        	402800
2100   	32818900    	2759300    	1107200      	31286700              	1806000        	385800
2200   	25759200    	1760400    	804600      	27208700              	1505700        	310400
2300   	33069100    	2066900    	819900      	36706700              	1542200        	330300
2400   	46591800    	2473600    	1147300      	28648800              	1615900        	348300
2500   	45361100    	2436300    	691500      	28473500              	1730200        	365000
2600   	40617400    	1746700    	718100      	36793200              	2422000        	699800
2700   	34372700    	1783600    	731600      	29979100              	1860700        	395400
2800   	44708100    	3111800    	1214400      	44018600              	2087800        	525800
2900   	37259300    	2455000    	997700      	42477800              	2520700        	531700
3000   	55348500    	2929400    	1214300      	54928500              	3373100        	676900
3100   	46916500    	2612700    	1100400      	39606200              	2245000        	452800
3200   	53526000    	2820600    	938000      	49691400              	2247600        	468800
3300   	45000400    	2239700    	940200      	36776500              	2696900        	485600
3400   	58301800    	2311200    	978600      	48978300              	5315700        	498900
3500   	62720400    	2501700    	1055900      	53354200              	4464000        	917900
3600   	56428600    	2461500    	1035500      	69562400              	4447400        	1085200
3700   	65329000    	5836400    	2379400      	55665300              	3312000        	682100
3800   	62808300    	2639600    	1083800      	42740500              	2737100        	558400
3900   	70306200    	6014400    	1212500      	66768700              	2830800        	591600
4000   	66045900    	2848300    	1190700      	48935000              	5439500        	637200
4100   	106721500    	3578500    	1493100      	56190700              	4147300        	832800
4200   	61329900    	2962500    	1893200      	62713500              	5517200        	1285900
4300   	70015500    	3621400    	1456900      	56361900              	3142400        	634900
4400   	67397700    	3211100    	1301100      	48740900              	3213600        	666200
4500   	80567500    	3267900    	1302000      	75617700              	4339100        	919200
4600   	65282800    	3284000    	1329300      	61059700              	3385000        	691100
4700   	69476300    	4136800    	1723200      	97103000              	5953900        	2328000
4800   	84311000    	5603500    	2201500      	72582600              	6380600        	1145800
4900   	73445900    	4353500    	1796800      	88323800              	4951700        	1000600
5000   	95223000    	3889500    	1560400      	67868900              	6427700        	1338900
