Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	3280200    	87800    	42400      	2156300              	87800        	27500
200   	3264400    	86400    	41400      	2189300              	90200        	25800
300   	4577300    	210400    	99100      	4715500              	225900        	68800
400   	10713800    	381100    	130100      	8524000              	420500        	104000
500   	6263300    	443100    	201200      	9905800              	465900        	113800
600   	10365600    	394500    	242000      	8063500              	411400        	101100
700   	11467300    	389600    	189400      	8843000              	502300        	121300
800   	8604400    	441800    	192000      	9169300              	467900        	115500
900   	11363800    	638100    	272900      	11574500              	664300        	153400
1000   	13465900    	1537800    	490400      	17256700              	753500        	169600
1100   	12746600    	1274600    	537600      	20927600              	937000        	186800
1200   	15751300    	705800    	298000      	14586900              	734500        	165900
1300   	18524700    	1176500    	358200      	14618500              	985000        	183200
1400   	18393000    	853600    	361900      	21425800              	1766400        	446200
1500   	16852700    	1731200    	393900      	16315300              	982100        	215700
1600   	22228900    	998600    	420000      	17247200              	1026500        	224800
1700   	28925300    	2831700    	1018100      	23927400              	1403500        	307800
1800   	24205600    	1135100    	476000      	20506600              	1176800        	264900
1900   	49305900    	2728100    	1160400      	35712100              	1704200        	396600
2000   	39789000    	1414500    	598500      	38794400              	1451300        	312600
2100   	34564300    	2192800    	923000      	34505900              	1989900        	429400
2200   	25828300    	1429900    	623100      	31007100              	2243900        	469800
2300   	36596700    	1916000    	1249500      	36125600              	1570000        	337500
2400   	40922800    	3488600    	1491400      	50005400              	2370700        	346000
2500   	36095400    	1877200    	745200      	39124100              	2662400        	641000
2600   	37921000    	1956200    	785600      	36863300              	2262600        	717900
2700   	32941700    	1782500    	743500      	34986400              	2399400        	496100
2800   	39738300    	1955500    	764500      	30971800              	2079100        	410200
2900   	46812400    	2645900    	1090200      	42720900              	2856000        	651900
3000   	45364400    	2013900    	829000      	46373000              	3300200        	687500
3100   	42968600    	2217400    	902600      	35535500              	2166700        	451700
3200   	61571600    	5177700    	1564400      	67845600              	3606300        	739600
3300   	68381000    	5537300    	1761100      	65606600              	3269500        	679100
3400   	59640600    	2619800    	1084500      	50708100              	2501600        	521100
3500   	62409000    	5153400    	2032600      	66322500              	4314200        	933200
3600   	67152600    	2880000    	1132100      	50981400              	4626900        	530400
3700   	43562600    	2552900    	1729800      	52046600              	2643000        	543800
3800   	76412300    	3722700    	2290600      	66425300              	4480300        	930200
3900   	68541600    	3945900    	1688000      	54773900              	4240900        	930300
4000   	55825600    	3754900    	1563300      	59248600              	3850500        	784500
4100   	65239700    	2903800    	1245400      	63032000              	2961900        	606700
4200   	71602000    	7064900    	1530200      	78447300              	6048000        	1250500
4300   	90192300    	3061500    	1272200      	69735000              	5743800        	1517600
4400   	63851900    	3556100    	1347100      	56026000              	3414800        	668000
4500   	60431100    	4674900    	1641000      	72589800              	3879400        	764500
4600   	82934800    	6055200    	4049200      	74657900              	3446300        	701800
4700   	67998600    	3999400    	1378500      	104254300              	5312600        	1491000
4800   	88240400    	6585500    	2851400      	94354600              	6563500        	1344000
4900   	82028300    	3591700    	1459300      	81840100              	4537800        	932300
5000   	75639900    	4290400    	1824500      	62104300              	4659900        	956600
5100   	81095200    	4863700    	2411200      	66583100              	3838200        	798300
5200   	81702800    	7319400    	3432800      	94713500              	6153400        	1279600
5300   	73979800    	6698300    	3100500      	97126400              	4018100        	816800
5400   	92881000    	4529100    	2112800      	84768600              	4227500        	827800
