Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2506000    	82100    	43300      	2486500              	88000        	27700
200   	4815900    	198400    	92900      	3610300              	94300        	32400
300   	8086300    	315000    	145200      	5098400              	146300        	38900
400   	5894300    	392800    	182500      	6630800              	205500        	51900
500   	5617400    	254000    	112800      	5112000              	265700        	64900
600   	6349900    	449500    	144700      	6684700              	330100        	80500
700   	15830200    	753700    	331500      	14658100              	410100        	99000
800   	9050200    	452700    	198200      	8490700              	473900        	107200
900   	23053100    	1249500    	500200      	20984600              	1012700        	235600
1000   	26071600    	942900    	524400      	21424500              	1041200        	243100
1100   	13483000    	774600    	709100      	12296500              	701900        	148700
1200   	13156900    	703200    	322200      	18137700              	868700        	166100
1300   	14901400    	774300    	330300      	14128700              	944500        	234400
1400   	15837100    	842100    	354600      	19154200              	2006400        	449800
1500   	28484500    	919400    	403600      	20163300              	1086600        	224400
1600   	27274100    	982700    	415900      	22095700              	1141400        	238400
1700   	28925500    	1171800    	515700      	28128500              	1982000        	585200
1800   	32468000    	2589900    	1077500      	44187700              	1387600        	300400
1900   	27049300    	1251000    	563600      	24342400              	1773800        	401200
2000   	26614800    	1274900    	544600      	21765200              	1326200        	302200
2100   	23135200    	1346400    	572500      	33408800              	1596600        	320600
2200   	40607300    	1624200    	619900      	42161000              	1514700        	322700
2300   	31270900    	1852100    	1227500      	27104700              	1933700        	411300
2400   	27615200    	4823300    	1795500      	43996100              	2091200        	438000
2500   	34160300    	1624900    	674500      	31403300              	1703100        	365000
2600   	29963500    	1734500    	711700      	29096800              	1791800        	380200
2700   	37699500    	3587800    	1427800      	48037300              	2483200        	526300
2800   	50304600    	2733100    	1114700      	42641800              	2802000        	597200
2900   	48261600    	2587700    	1426900      	56650800              	2733000        	582500
3000   	50631900    	3185800    	1386500      	53216200              	2651500        	553000
3100   	44510500    	2337800    	1231500      	60760400              	5090000        	1105400
3200   	53441800    	3666000    	1491900      	58116200              	4451800        	582800
3300   	52448300    	3381700    	1390300      	36829900              	2402200        	483500
3400   	39738000    	3142800    	1036000      	43157300              	2705200        	532100
3500   	61119300    	2624400    	1147400      	48443900              	2498400        	514600
3600   	97805300    	5799700    	2405200      	59920900              	2890900        	614200
3700   	52288600    	5852500    	1333400      	78146600              	3206600        	819600
3800   	66247800    	3274300    	1364000      	42833000              	3044900        	595300
3900   	55098100    	2831400    	1112500      	61838100              	2831300        	583000
4000   	71656900    	4836800    	1947900      	84672100              	4366100        	1096600
4100   	69006500    	3214500    	1295500      	55563600              	3342900        	647500
4200   	90605600    	6132400    	1233200      	70851700              	6170300        	774500
4300   	53173400    	3805100    	1235900      	54768500              	3435300        	636200
4400   	55325400    	3873000    	1279000      	50321900              	3777700        	696800
4500   	81589500    	7894000    	2972900      	79318200              	4493500        	940800
4600   	77965700    	3561600    	1449900      	73811600              	4102300        	1047100
4700   	68769400    	3403700    	1427800      	52565100              	3510200        	705700
4800   	84002900    	3466100    	1417400      	64227900              	7436200        	1637100
4900   	69257700    	3543800    	1429700      	64031100              	8408500        	1676000
5000   	75019300    	3559500    	1451100      	74323500              	6415100        	1486800
5100   	72103200    	3756500    	1500000      	57455300              	3832200        	779300
5200   	82709700    	4192900    	1698100      	71596000              	4382600        	844700
5300   	95219200    	4184400    	2887900      	80653300              	4219000        	849200
5400   	131504500    	7945100    	3525500      	103212100              	8503000        	1975300
5500   	81995500    	4017600    	1596400      	77814300              	9607000        	2108300
5600   	96756100    	8095100    	3364700      	84201900              	9681400        	2049700
5700   	116685800    	4917400    	2258900      	65130400              	4304800        	879300
5800   	106358600    	6264900    	3018900      	83174600              	8704400        	2003500
5900   	91823600    	4813500    	1840700      	99137400              	9446700        	2035900
6000   	116414300    	7236900    	2902600      	134395400              	5250300        	1060300
6100   	125831800    	9934800    	5509000      	94317600              	5812200        	1350200
6200   	89697900    	5833800    	2764500      	92173300              	5358100        	1038100
6300   	83590200    	5478800    	2019500      	113889600              	5456400        	1145100
6400   	120781900    	5648600    	2049300      	112364100              	5586700        	1172100
6500   	111821500    	4837600    	2024100      	116763700              	9095400        	1384000
6600   	96386000    	6213200    	2451100      	118497700              	5720800        	1207400
6700   	81808600    	11238900    	3144500      	78746800              	5284800        	1031900
6800   	117912100    	5074100    	2164500      	83528900              	5461300        	1050100
6900   	105769900    	7226000    	4957200      	88563900              	9120800        	1131000
7000   	103727800    	11761300    	3571100      	126916600              	8388600        	1660100
7100   	129718600    	10507700    	4414100      	103454100              	7395000        	1103800
7200   	122680300    	5414600    	2156700      	122147600              	9538600        	2054000
7300   	138814800    	5495200    	2922700      	102480100              	13741400        	2882000
7400   	139639800    	8388500    	3638600      	127072100              	7403200        	1497700
7500   	125773000    	9391900    	3748300      	110454400              	6460400        	1270400
7600   	168182200    	13421800    	5784900      	169741600              	10995700        	2311400
7700   	130417300    	14969700    	5878500      	93868900              	6028800        	1198600
7800   	113509400    	5912300    	2472200      	100700900              	6874600        	3209200
7900   	138527900    	6100500    	2401000      	167540900              	13605800        	2041200
8000   	126382700    	7991900    	3268100      	117024600              	9619400        	2160300
8100   	113269900    	13982300    	4727400      	154131600              	16502900        	3030300
8200   	195014500    	8722400    	3728100      	158783900              	10995400        	1398400
8300   	114871800    	9863500    	3422700      	125684500              	10961300        	2468400
8400   	147394500    	6386700    	2632200      	153434300              	6899400        	1333200
8500   	174109200    	15674700    	4922400      	117792700              	7537000        	1520600
8600   	148163300    	15307200    	5954000      	158855200              	6957300        	1399200
8700   	140492800    	7609200    	3483500      	127914200              	7053600        	1467100
