Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1421200    	37200    	20000      	969900              	38800        	11900
200   	3556800    	149700    	74500      	4022200              	182400        	44100
300   	5388800    	210700    	96200      	4858400              	335100        	84300
400   	5517800    	243900    	112800      	5106900              	256100        	64500
500   	5558500    	251300    	114400      	5100200              	265200        	64300
600   	6388400    	315900    	139500      	6714100              	330100        	80100
700   	7701600    	537400    	165600      	11720600              	591300        	143300
800   	16745900    	920100    	335900      	10972100              	462100        	106700
900   	11074200    	613300    	216600      	11327500              	536100        	134300
1000   	13208000    	571100    	246000      	10475400              	593400        	138600
1100   	18765200    	748100    	707900      	12457300              	1092700        	196900
1200   	14060400    	727700    	328000      	13447000              	918400        	210300
1300   	18681700    	786500    	329300      	16740400              	1039900        	231500
1400   	19936400    	859100    	371500      	20146200              	995700        	214500
1500   	18778300    	907500    	392100      	15983900              	949900        	210000
1600   	18138600    	1265500    	518900      	22373400              	1306200        	286500
1700   	21023700    	1234300    	439200      	18876900              	1098300        	239500
1800   	27748300    	1669500    	1128800      	21362500              	1312800        	263600
1900   	24499600    	1198000    	501900      	21931800              	1442000        	284300
2000   	23353200    	1257900    	530700      	30556200              	1310900        	280700
2100   	32631000    	2055400    	846700      	32983500              	2451400        	602300
2200   	42528600    	1569000    	752800      	30714500              	1536400        	309500
2300   	31176400    	1688600    	658900      	33298900              	2278100        	442000
2400   	37978800    	2030700    	843500      	29606000              	1767600        	347900
2500   	33222500    	1628900    	678100      	34779500              	3834100        	399700
2600   	38801700    	2369800    	705600      	34388200              	1995900        	411800
2700   	36766000    	2038400    	850800      	34633900              	1908200        	420900
2800   	34045400    	1852300    	770500      	31026800              	2002000        	412800
2900   	38182300    	2454100    	989600      	42426300              	2535500        	533100
3000   	38248500    	2013900    	818000      	36107200              	2114100        	438400
3100   	41494400    	2185400    	918100      	33738400              	2168500        	453900
3200   	35482700    	2149800    	891300      	56379900              	2932300        	605600
3300   	38431800    	2226200    	917800      	36735500              	2437700        	488600
3400   	53147500    	2401300    	947600      	50728300              	2405500        	498000
3500   	57253800    	2382800    	989400      	39064100              	2525300        	515700
3600   	63917300    	5101100    	1030900      	42400600              	2566500        	533400
3700   	67751300    	3329700    	1375200      	45078200              	2649400        	571400
3800   	52275300    	5917200    	2446200      	45297900              	3544600        	701800
3900   	62174900    	3620800    	1751900      	63130600              	4866700        	761000
4000   	57682900    	4855600    	1225200      	50599800              	3230600        	651300
4100   	56679900    	2871700    	1163000      	49381600              	2992900        	606200
4200   	49604500    	2947400    	1190400      	54567600              	3132800        	619200
4300   	74864100    	3125800    	1263600      	47149800              	3121500        	634600
4400   	63533900    	4860400    	1610400      	72382300              	4610800        	868100
4500   	56528400    	3251700    	1291100      	60224900              	5228300        	852100
4600   	68350000    	3268100    	1357700      	65607100              	4494400        	871900
4700   	62405200    	4170200    	1681900      	80923700              	3968900        	817600
