Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	2008400    	84000    	42400      	2145600              	87700        	27200
200   	7373700    	405100    	128800      	4748400              	299000        	56700
300   	6352900    	156500    	72100      	3386500              	163000        	41200
400   	4447800    	197100    	88100      	4132500              	297800        	52500
500   	8913500    	253500    	115300      	7845300              	1013800        	114000
600   	7478400    	634700    	278800      	9725800              	607600        	189000
700   	12168900    	566900    	247800      	10838300              	495200        	120900
800   	8745000    	441200    	195600      	8315100              	540200        	107100
900   	9720800    	505700    	220600      	9613400              	527900        	122700
1000   	21518300    	1017700    	441000      	12448900              	672000        	144700
1100   	11986700    	634900    	271000      	11644300              	664000        	149700
1200   	13003900    	700600    	310600      	13198300              	1565000        	341100
1300   	16176300    	770400    	330600      	14074600              	804800        	183600
1400   	15437600    	838800    	360000      	15045200              	875900        	197300
1500   	16388000    	906900    	391300      	16198500              	949100        	210600
1600   	17319400    	1005400    	416700      	17040100              	1023600        	223800
1700   	18983800    	1049100    	538900      	18396500              	1116300        	240200
1800   	21659200    	1369200    	502100      	23165800              	1304500        	271300
1900   	31302800    	1189300    	495100      	20648500              	1240200        	267500
2000   	28107000    	1405700    	565700      	24495900              	1466800        	298800
2100   	50866500    	2651400    	919600      	35290500              	2800800        	663900
2200   	28927600    	1405400    	598500      	23973400              	1464600        	310800
2300   	33035900    	1673200    	654800      	26407300              	1536600        	346800
2400   	54778800    	1623100    	679100      	28185000              	1625200        	346200
2500   	41151600    	1828100    	730500      	29417000              	1700500        	381000
2600   	40589800    	1899900    	749300      	44036900              	2249600        	552000
2700   	44235500    	3416200    	1022600      	34128600              	2106000        	421000
2800   	33723500    	1856700    	766300      	30589200              	1934700        	411000
2900   	45068100    	2916200    	1119000      	34202600              	2101100        	422900
3000   	35132400    	1996200    	833100      	32577100              	2088700        	436600
3100   	39526100    	3118300    	1296500      	35823500              	2239900        	457200
3200   	41543100    	2437000    	959200      	42976600              	4162500        	500200
3300   	48982100    	2501700    	985900      	38686900              	2337900        	483900
3400   	49186900    	2508200    	949400      	37618800              	2700600        	591400
3500   	44235700    	3010200    	1230700      	39450000              	2485800        	512900
3600   	47943500    	2847900    	2446200      	48547300              	3207400        	691100
3700   	49931000    	3210000    	1506500      	43764400              	2641200        	545600
3800   	58333200    	2627000    	1106800      	41900000              	2723300        	648000
3900   	46953100    	2688400    	1101400      	43337100              	2816100        	573800
4000   	49782800    	2913400    	1141700      	63605600              	3239900        	628800
4100   	64839500    	3574600    	1518300      	62313900              	3468000        	709200
4200   	58433000    	3484400    	1526600      	50929300              	3044400        	616800
4300   	55267000    	4264000    	2459100      	49033800              	3167900        	635100
4400   	53519300    	3115900    	1294900      	48214500              	3241200        	654500
4500   	62916400    	3195500    	1301100      	49610200              	3302800        	671000
4600   	62714400    	3250500    	1481800      	58897300              	9082300        	961000
4700   	67721000    	3523800    	1358600      	65457900              	3543600        	738100
4800   	66578000    	3399000    	1387800      	62055400              	5561800        	729000
4900   	75033500    	6443300    	2581600      	74015900              	3635700        	743600
5000   	59217500    	3969300    	1536900      	61090400              	3762400        	762400
5100   	78213200    	3637000    	1572300      	58667100              	4242400        	829900
5200   	112061600    	3743700    	1527800      	64175800              	4360700        	846100
5300   	65893900    	9313800    	3687600      	67127300              	3980600        	829300
5400   	63579100    	3925300    	1678600      	78693800              	8303900        	1867400
5500   	65644500    	8444100    	3672100      	110884600              	9253200        	1984500
5600   	69423100    	4343900    	1774200      	76590200              	4224500        	857500
5700   	82181800    	4759600    	2231200      	64737000              	4371400        	874400
5800   	79224700    	8481300    	3471800      	86965900              	5580200        	1209100
5900   	73001800    	4284400    	1747400      	74482300              	4509700        	904300
6000   	74713600    	4423800    	1771100      	79810800              	4568200        	917800
6100   	79561200    	4494700    	2061300      	71246600              	5800000        	1001600
6200   	84030400    	4553800    	1844500      	72709100              	5302000        	1133800
6300   	123824800    	5317100    	2190100      	72278200              	4900900        	967500
6400   	95187300    	5231900    	1909800      	97797500              	4892300        	985200
6500   	98096800    	5377200    	2091400      	83209000              	5648100        	1064100
6600   	93410000    	5443400    	2140400      	75847700              	5111200        	1022800
6700   	95582500    	5153100    	2137100      	88187600              	5216600        	1034500
6800   	106158500    	11746900    	4605600      	126768600              	9687500        	1097100
6900   	102885500    	5900400    	2721500      	77015700              	7307600        	1094400
7000   	94740900    	5201900    	2275400      	97644700              	11833200        	1215300
7100   	87019200    	5298900    	2167100      	80349800              	5652600        	1106300
7200   	109604900    	5363500    	2164400      	80569800              	5993500        	1124100
7300   	97850800    	6826200    	2756300      	85140400              	7982600        	1155400
7400   	99196100    	5561600    	2236400      	88156600              	10545600        	1581700
