Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1971700    	46600    	26100      	1362700              	57400        	18200
200   	4065000    	154700    	65100      	3377300              	141500        	33500
300   	4256100    	147600    	67800      	6013200              	145900        	39200
400   	5488900    	196200    	88600      	7244600              	360200        	91200
500   	9254700    	381900    	177900      	8218500              	317000        	88600
600   	9047600    	441100    	186700      	9236900              	465600        	109200
700   	10028200    	473200    	213500      	9323200              	493100        	119700
800   	12044500    	551900    	238600      	10657000              	584500        	135700
900   	11073000    	882200    	416600      	15713100              	680900        	156300
1000   	14690200    	757800    	330500      	14111600              	826100        	154700
1100   	17486200    	796000    	350300      	14689800              	831400        	187100
1200   	13642600    	705200    	302400      	17368200              	1102800        	248900
1300   	17313400    	964800    	413500      	16200800              	805400        	184500
1400   	15892900    	992500    	452900      	15263600              	1110400        	257300
1500   	17808800    	946000    	402100      	18422900              	1198500        	264700
1600   	20525600    	2253600    	1979700      	24334600              	1027200        	223500
1700   	24696100    	1322000    	549800      	20810300              	1092400        	238700
1800   	23875200    	1252400    	502300      	27316000              	1769800        	402900
1900   	28556600    	1285100    	557500      	23328500              	1731300        	336300
2000   	28844300    	1277500    	524200      	29044800              	1464100        	299400
2100   	31623700    	1686700    	695300      	36225800              	1442700        	303100
2200   	34861500    	2127800    	892900      	33234800              	1694900        	366300
2300   	36636700    	2421200    	940500      	39865400              	2486700        	531900
2400   	30831000    	1596000    	703900      	34529400              	3370500        	731500
2500   	31957300    	1633300    	682900      	43842600              	2122200        	454900
2600   	36824600    	2582500    	856800      	36086200              	1801500        	379700
2700   	37463500    	2331600    	747700      	36172400              	2064800        	401300
2800   	39380600    	1902800    	978300      	35973700              	1945600        	411300
2900   	33985300    	1952800    	793600      	39450800              	2263600        	453600
3000   	51514700    	2620700    	1139800      	54002600              	3375800        	940500
3100   	49097500    	2819500    	1209500      	42712600              	2194300        	477900
3200   	56477100    	3688900    	1487200      	42977800              	2687100        	468300
3300   	52584700    	2588900    	1035400      	55629300              	7839900        	674300
3400   	60235900    	23204100    	1414900      	65781700              	3077300        	621300
3500   	46899000    	3004000    	1405200      	45282600              	2545100        	706900
3600   	50888400    	3132000    	1293600      	48854700              	3200300        	663000
3700   	43528500    	2569500    	1048600      	57709300              	2645300        	550600
3800   	52393200    	2845900    	1085100      	60982700              	5736100        	1266900
3900   	55357800    	2770500    	1132600      	52305100              	3542000        	592300
4000   	50708100    	3564800    	1437200      	48355500              	3601000        	603500
4100   	53185700    	2920800    	1163100      	63187500              	3954400        	866000
4200   	70900000    	2921800    	1530100      	79077800              	7437200        	1520200
