Size	Mergesort	Heapsort	Quiksort	Mergesort_Sorted	HeapSort	QuickSort_Sorted
100   	1382100    	59600    	27600      	1642900              	40000        	12400
200   	2036600    	85200    	41300      	2004500              	90800        	24800
300   	5154000    	231700    	109900      	4497500              	146100        	39000
400   	4685300    	484500    	199300      	7788400              	203900        	52200
500   	5162000    	406000    	114800      	5500900              	264500        	65000
600   	6683700    	313400    	139200      	6828400              	427900        	100000
700   	9711400    	379800    	204600      	8001500              	395000        	96200
800   	9249500    	492100    	208900      	9443700              	458900        	107200
900   	12261900    	628400    	271300      	9625800              	526900        	122500
1000   	10778200    	569200    	249300      	10599100              	804900        	206600
1100   	21846100    	1109500    	493000      	16699300              	838900        	187800
1200   	17512800    	865800    	380900      	13013100              	741500        	168600
1300   	14819000    	819100    	328600      	14013800              	845700        	183900
1400   	24794300    	1054200    	447300      	15916400              	897900        	197100
1500   	16727300    	911000    	383100      	16298700              	951800        	209500
1600   	17536500    	976300    	415200      	17096000              	1021200        	225800
1700   	18703300    	1050800    	444400      	18247300              	1092200        	241600
1800   	43835000    	2144000    	1302900      	30478500              	1173400        	257000
1900   	21470100    	1204400    	500700      	20436700              	1249500        	267600
2000   	29706500    	1257400    	526800      	37759000              	3011600        	505700
2100   	26565200    	1330200    	564800      	22741100              	1385600        	293600
2200   	43353500    	1410200    	591800      	25049100              	2508600        	313200
2300   	25849300    	1484900    	675400      	31304500              	1724500        	358700
2400   	51176900    	2372900    	1007900      	35052200              	2218900        	476200
2500   	30486300    	1628100    	679200      	47652900              	2130500        	455300
2600   	33508700    	1705100    	718600      	29335000              	1791900        	379700
2700   	34772700    	1994600    	745400      	35835000              	2398800        	495300
2800   	32168300    	1855800    	772900      	31093100              	1941800        	415400
2900   	34164000    	1927600    	804800      	34175600              	2252200        	450900
3000   	46047500    	1999000    	843300      	44349500              	2412400        	578200
3100   	38826900    	2074500    	856300      	34523900              	2305900        	457000
3200   	56932000    	3314900    	1775000      	35789500              	2260500        	468100
